id,book,mode,rank_ic,avg_turnover,net0,net60,net100,net150,yearly_net60
P0_A_CH_7s,books,long_short,0.060855242230097986,0.35810816741648727,1.922,1.672,1.505,1.296,"{""2023"": {""sharpe"": 1.24, ""mean_pct"": 1.22, ""n"": 12}, ""2024"": {""sharpe"": 1.63, ""mean_pct"": 2.17, ""n"": 13}, ""2025"": {""sharpe"": 1.04, ""mean_pct"": 2.2, ""n"": 12}, ""2026"": {""sharpe"": 5.37, ""mean_pct"": 10.66, ""n"": 5}}"
P0_A_CH_7s,books,long_only,0.060855242230097986,0.31065554530332035,1.82,1.733,1.675,1.602,"{""2023"": {""sharpe"": 2.13, ""mean_pct"": 3.17, ""n"": 12}, ""2024"": {""sharpe"": 0.85, ""mean_pct"": 1.23, ""n"": 13}, ""2025"": {""sharpe"": 1.39, ""mean_pct"": 3.86, ""n"": 12}, ""2026"": {""sharpe"": 4.32, ""mean_pct"": 12.69, ""n"": 5}}"
P0_A_CH_7s,blend_band10,long_short,0.07111409253291423,0.30096000613503227,2.371,2.147,1.997,1.81,"{""2023"": {""sharpe"": 2.35, ""mean_pct"": 2.53, ""n"": 12}, ""2024"": {""sharpe"": 1.6, ""mean_pct"": 2.06, ""n"": 13}, ""2025"": {""sharpe"": 1.64, ""mean_pct"": 3.72, ""n"": 12}, ""2026"": {""sharpe"": 9.74, ""mean_pct"": 8.58, ""n"": 5}}"
P0_A_CH_7s,blend_band10,long_only,0.07111409253291423,0.2539884460932149,2.058,1.989,1.943,1.885,"{""2023"": {""sharpe"": 2.55, ""mean_pct"": 4.12, ""n"": 12}, ""2024"": {""sharpe"": 1.01, ""mean_pct"": 1.55, ""n"": 13}, ""2025"": {""sharpe"": 1.64, ""mean_pct"": 4.75, ""n"": 12}, ""2026"": {""sharpe"": 5.12, ""mean_pct"": 11.23, ""n"": 5}}"
P0_A_BR_7s,books,long_short,0.0275197722966629,0.3381925227417581,1.21,0.963,0.797,0.589,"{""2021"": {""sharpe"": 0.43, ""mean_pct"": 0.66, ""n"": 13}, ""2022"": {""sharpe"": -0.32, ""mean_pct"": -0.56, ""n"": 12}, ""2023"": {""sharpe"": 1.72, ""mean_pct"": 1.84, ""n"": 12}, ""2024"": {""sharpe"": 1.0, ""mean_pct"": 1.61, ""n"": 12}, ""2025"": {""sharpe"": 1.35, ""mean_pct"": 2.04, ""n"": 12}, ""2026"": {""sharpe"": 2.49, ""mean_pct"": 6.24, ""n"": 6}}"
P0_A_BR_7s,books,long_only,0.0275197722966629,0.29432176201989874,1.277,1.193,1.136,1.066,"{""2021"": {""sharpe"": 1.13, ""mean_pct"": 2.7, ""n"": 13}, ""2022"": {""sharpe"": -0.0, ""mean_pct"": -0.01, ""n"": 12}, ""2023"": {""sharpe"": 2.09, ""mean_pct"": 2.72, ""n"": 12}, ""2024"": {""sharpe"": 0.59, ""mean_pct"": 1.14, ""n"": 12}, ""2025"": {""sharpe"": 1.48, ""mean_pct"": 3.02, ""n"": 12}, ""2026"": {""sharpe"": 3.21, ""mean_pct"": 8.21, ""n"": 6}}"
P0_A_BR_7s,blend_band10,long_short,0.03405697594231368,0.2977180912964615,1.653,1.443,1.302,1.125,"{""2021"": {""sharpe"": 1.31, ""mean_pct"": 2.65, ""n"": 13}, ""2022"": {""sharpe"": -0.15, ""mean_pct"": -0.21, ""n"": 12}, ""2023"": {""sharpe"": 1.95, ""mean_pct"": 3.42, ""n"": 12}, ""2024"": {""sharpe"": 1.5, ""mean_pct"": 1.82, ""n"": 12}, ""2025"": {""sharpe"": 1.36, ""mean_pct"": 2.17, ""n"": 12}, ""2026"": {""sharpe"": 3.5, ""mean_pct"": 6.67, ""n"": 6}}"
P0_A_BR_7s,blend_band10,long_only,0.03405697594231368,0.2563507953210164,1.53,1.455,1.405,1.343,"{""2021"": {""sharpe"": 1.45, ""mean_pct"": 3.79, ""n"": 13}, ""2022"": {""sharpe"": 0.05, ""mean_pct"": 0.11, ""n"": 12}, ""2023"": {""sharpe"": 2.66, ""mean_pct"": 3.87, ""n"": 12}, ""2024"": {""sharpe"": 0.75, ""mean_pct"": 1.26, ""n"": 12}, ""2025"": {""sharpe"": 1.49, ""mean_pct"": 3.03, ""n"": 12}, ""2026"": {""sharpe"": 3.86, ""mean_pct"": 8.4, ""n"": 6}}"
P1_V11_A_baseline_CH_3s,books,long_short,0.06342833282700257,0.3573802036992876,1.91,1.656,1.487,1.276,"{""2023"": {""sharpe"": 0.93, ""mean_pct"": 1.03, ""n"": 12}, ""2024"": {""sharpe"": 1.53, ""mean_pct"": 1.97, ""n"": 13}, ""2025"": {""sharpe"": 1.13, ""mean_pct"": 2.28, ""n"": 12}, ""2026"": {""sharpe"": 5.93, ""mean_pct"": 10.83, ""n"": 5}}"
P1_V11_A_baseline_CH_3s,books,long_only,0.06342833282700257,0.3156795360211609,1.762,1.674,1.616,1.542,"{""2023"": {""sharpe"": 1.95, ""mean_pct"": 3.23, ""n"": 12}, ""2024"": {""sharpe"": 0.68, ""mean_pct"": 1.05, ""n"": 13}, ""2025"": {""sharpe"": 1.33, ""mean_pct"": 3.54, ""n"": 12}, ""2026"": {""sharpe"": 4.51, ""mean_pct"": 12.31, ""n"": 5}}"
