id,candidate,phase,window,n_seeds,status,val_ic,blend_LS_net60_sharpe,blend_LS_max_dd,blend_turnover,blend_2022,train_s,peak_vram_mb,runtime_s,error,q5_overlap_vs_baseline
P0_A_CH_7s,V11_A_baseline,P0,CH,7,done,0.04824,2.147,-0.1063,0.30096000613503227,,3916.0,2157.7,3942.4,,
P0_A_BR_7s,V11_A_baseline,P0,BR,7,done,0.04976,1.443,-0.1803,0.2977180912964615,-0.15,3502.5,2157.2,3516.3,,
P1_V11_A_baseline_CH_3s,V11_A_baseline,P1,CH,3,done,0.04813,1.969,-0.1054,0.30140248165433475,,733.8,2153.8,743.6,,0.88
P1_V11_B_wider96_CH_3s,V11_B_wider96,P1,CH,3,done,0.05178,1.971,-0.1077,0.3048834655338129,,944.5,2859.1,954.4,,0.841
P1_V11_C_wider128_CH_3s,V11_C_wider128,P1,CH,3,done,0.05366,1.807,-0.116,0.31135463719714046,,1372.9,3566.2,1384.4,,0.808
P1_V11_D_deeper64_CH_3s,V11_D_deeper64,P1,CH,3,done,0.04268,1.918,-0.0897,0.299055568990951,,1054.1,2155.0,1063.5,,0.805
P1_V11_E_longer90_CH_3s,V11_E_longer90,P1,CH,3,done,0.05191,1.789,-0.1125,0.2825887429918654,,1270.3,3393.9,1284.5,,0.712
P1_V11_F_wider96_longer90_CH_3s,V11_F_wider96_longer90,P1,CH,3,done,0.05569,1.711,-0.1583,0.28004279297843754,,1655.1,4244.8,1663.6,,0.682
P1_V11_G_wider128_deeper3_CH_3s,V11_G_wider128_deeper3,P1,CH,3,done,0.05018,1.68,-0.1178,0.31398948915069724,,1993.6,3571.1,2006.8,,0.768
P2_V11_B_wider96_CH_7s,V11_B_wider96,P2,CH,7,cancelled,,,,,,,,,,
P2_V11_B_wider96_BR_7s,V11_B_wider96,P2,BR,7,cancelled,,,,,,,,,,
