item,recipe,cell,refit_date,seed,epoch,train_loss,val_ic
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,0,0,0.33461,-0.02293
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,0,1,0.33321,-0.03987
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,0,2,0.33308,-0.04688
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,0,3,0.33295,-0.08161
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,0,4,0.33252,-0.07998
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,0,5,0.33205,-0.07602
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,0,0.33534,-0.08366
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,1,0.33346,-0.08314
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,2,0.33296,-0.08202
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,3,0.33257,-0.08322
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,4,0.33222,-0.07541
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,5,0.33198,-0.0594
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,6,0.33164,-0.05811
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,7,0.33131,-0.02428
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,8,0.33098,0.00926
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,9,0.33039,0.02043
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,10,0.32981,0.02489
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,11,0.32927,-0.02703
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,12,0.32855,0.0201
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,13,0.32862,0.04316
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,14,0.32798,0.04812
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,15,0.32756,0.04216
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,16,0.32731,0.03531
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,17,0.32777,0.02101
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,18,0.32723,0.01637
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,1,19,0.32657,0.02126
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,0,0.33623,-0.08208
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,1,0.33401,-0.08228
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,2,0.33346,-0.05702
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,3,0.33291,-0.01986
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,4,0.33207,0.0099
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,5,0.33098,-0.02829
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,6,0.33038,0.03999
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,7,0.3298,-0.01997
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,8,0.32953,0.02266
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,9,0.32923,-0.00801
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,10,0.32871,-0.01665
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-01-03,2,11,0.32861,0.00446
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,0,0.33417,-0.07603
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,1,0.3331,-0.05465
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,2,0.33292,0.01265
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,3,0.33269,0.0126
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,4,0.33252,0.01184
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,5,0.33211,0.01057
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,6,0.33188,0.01412
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,7,0.33166,0.05394
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,8,0.33151,0.00027
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,9,0.33108,-0.02404
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,10,0.33089,-0.00771
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,11,0.33117,-0.0255
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,0,12,0.33056,-0.01758
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,0,0.33548,-0.01315
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,1,0.33332,0.03185
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,2,0.33321,0.03527
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,3,0.33267,0.03689
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,4,0.3323,0.06255
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,5,0.33175,0.10563
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,6,0.3311,0.09183
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,7,0.33084,0.09801
P2E_Wall_baseline_E50p5,Wall_baseline,E50p5,2023-07-20,1,8,0.33018,0.09616
