band,config,params,trainable,p_lstm,p_input_proj,p_pos_emb,p_cross_attn,p_encoder,p_head,ckpt_fp32_mb,ckpt_fp16_mb,optimizer_gb,grads_gb,act_gb_at_micro256,train_vram_gb_est,infer_vram_gb_est,fits_16gb_train,epoch_min_est,estimate_s
S_baseline,"{""hidden"": 64, ""trans_layers"": 2, ""heads"": 4, ""ff"": 128, ""seq_len"": 60}",113857,113857,19456,4160,3840,17344,66944,2113,0.4,0.2,0.0,0.0,0.06,0.96,0.92,True,0-0,0.0
M1_h128L4,"{""hidden"": 128, ""trans_layers"": 4, ""heads"": 8, ""ff"": 512, ""seq_len"": 60}",960577,960577,71680,16512,7680,67456,793088,4161,3.7,1.8,0.01,0.0,0.25,1.17,0.95,True,0-0,0.0
M2_h256L4,"{""hidden"": 256, ""trans_layers"": 4, ""heads"": 8, ""ff"": 1024, ""seq_len"": 60}",3788865,3788865,274432,65792,15360,265984,3159040,8257,14.5,7.2,0.03,0.01,0.5,1.46,1.01,True,1-1,0.0
M3_h256L6,"{""hidden"": 256, ""trans_layers"": 6, ""heads"": 8, ""ff"": 1024, ""seq_len"": 60}",5368385,5368385,274432,65792,15360,265984,4738560,8257,20.5,10.2,0.04,0.02,0.71,1.69,1.01,True,1-1,0.0
L1_h512L8,"{""hidden"": 512, ""trans_layers"": 8, ""heads"": 8, ""ff"": 2048, ""seq_len"": 60}",27658305,27658305,1073152,262656,30720,1056256,25219072,16449,105.5,52.8,0.21,0.1,1.82,3.13,1.16,True,4-8,0.1
L2_h512L12,"{""hidden"": 512, ""trans_layers"": 12, ""heads"": 8, ""ff"": 2048, ""seq_len"": 60}",40267841,40267841,1073152,262656,30720,1056256,37828608,16449,153.6,76.8,0.3,0.15,2.64,4.14,1.18,True,6-11,0.0
L3_h768L8,"{""hidden"": 768, ""trans_layers"": 8, ""heads"": 12, ""ff"": 3072, ""seq_len"": 60}",62131265,62131265,2396160,590592,46080,2370816,56702976,24641,237.0,118.5,0.46,0.23,2.73,4.55,1.32,True,9-17,0.1
XL1_h1024L16,"{""hidden"": 1024, ""trans_layers"": 16, ""heads"": 16, ""ff"": 4096, ""seq_len"": 60}",211136577,211136577,4243456,1049600,61440,4209664,201539584,32833,805.4,402.7,1.57,0.79,6.92,10.96,1.7,True,29-58,0.5
XL2_h1024L24,"{""hidden"": 1024, ""trans_layers"": 24, ""heads"": 16, ""ff"": 4096, ""seq_len"": 60}",311906369,311906369,4243456,1049600,61440,4209664,302309376,32833,1189.8,594.9,2.32,1.16,10.2,15.75,1.89,False,43-86,1.0
XL3_h768L24,"{""hidden"": 768, ""trans_layers"": 24, ""heads"": 12, ""ff"": 3072, ""seq_len"": 60}",175537217,175537217,2396160,590592,46080,2370816,170108928,24641,669.6,334.8,1.31,0.65,7.65,11.16,1.53,True,24-49,1.1
XL4_h1536L12,"{""hidden"": 1536, ""trans_layers"": 12, ""heads"": 16, ""ff"": 6144, ""seq_len"": 60}",361451585,361451585,9510912,2360832,92160,9460224,339978240,49217,1378.8,689.4,2.69,1.35,7.91,14.2,2.19,False,50-100,1.0
