recipe,status,val_ic,blend_LS_net60,blend_LS_dd,blend_LO_net60,tf_LS_net60,blend_2022,turnover,train_s,q5_overlap_vs_baseline
Wall_baseline,done,0.04813,1.969,-0.1054,1.937,1.656,,0.30140248165433486,1604.3,
W1y,done,0.02593,0.381,-0.2989,0.975,-0.315,,0.40406379577659746,114.4,0.405
W2y,done,0.02276,0.588,-0.2553,1.335,-0.631,,0.45162537566849537,360.1,0.366
W3y,done,0.02055,1.643,-0.1979,1.708,1.427,,0.38966470785436097,507.9,0.57
HL63,done,0.02424,0.298,-0.4296,1.322,-0.474,,0.44424620784248714,536.1,0.296
HL126,done,0.02569,0.55,-0.3636,1.253,0.146,,0.43183807492038495,1033.5,0.42
HL252,done,0.02752,1.357,-0.1509,1.708,0.209,,0.38609448514736594,1235.6,0.519
HL504,done,0.04527,1.495,-0.1271,1.755,0.861,,0.3320094465211671,1022.7,0.727
HY3y126,done,0.02419,0.553,-0.3915,1.216,0.144,,0.4321716012235626,229.9,0.401
HY3y252,done,0.02326,1.4,-0.2129,1.753,0.893,,0.3685383037540818,256.0,0.468
CAL_bands,done,0.03629,1.054,-0.2028,1.631,0.37,,0.39794216831188944,326.5,0.486
