window,signal,config,cost_bps,sharpe,max_dd,ann_ret,yearly,short_hit_rate,short_mae_mean,turnover_long,turnover_short,avg_n_short,avg_n_excluded,max_short_sector_w
CH,tf,L100,60,1.864,-0.2877,0.5202,"{""2023"": 2.0, ""2024"": 0.99, ""2025"": 1.61, ""2026"": 4.79}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,L100_S50,60,1.816,-0.2235,0.4321,"{""2023"": 1.67, ""2024"": 1.56, ""2025"": 1.36, ""2026"": 5.17}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,L100_S100_net0,60,1.525,-0.2155,0.3441,"{""2023"": 0.8, ""2024"": 1.95, ""2025"": 0.95, ""2026"": 5.74}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,S100_diagnostic,60,-0.998,-0.4539,-0.1761,"{""2023"": -1.98, ""2024"": 1.15, ""2025"": -1.28, ""2026"": -3.41}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,L100,100,1.801,-0.2948,0.5029,"{""2023"": 1.89, ""2024"": 0.92, ""2025"": 1.57, ""2026"": 4.76}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,L100_S50,100,1.637,-0.2321,0.3903,"{""2023"": 1.28, ""2024"": 1.37, ""2025"": 1.26, ""2026"": 5.03}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,L100_S100_net0,100,1.227,-0.2246,0.2778,"{""2023"": 0.08, ""2024"": 1.67, ""2025"": 0.8, ""2026"": 5.42}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,S100_diagnostic,100,-1.276,-0.5335,-0.2251,"{""2023"": -2.45, ""2024"": 0.87, ""2025"": -1.47, ""2026"": -3.66}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,L100,150,1.722,-0.3036,0.4812,"{""2023"": 1.74, ""2024"": 0.84, ""2025"": 1.52, ""2026"": 4.71}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,L100_S50,150,1.413,-0.2591,0.3381,"{""2023"": 0.78, ""2024"": 1.14, ""2025"": 1.14, ""2026"": 4.87}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
CH,tf,L100_S100_net0,150,0.856,-0.2367,0.195,"{""2023"": -0.83, ""2024"": 1.31, ""2025"": 0.61, ""2026"": 5.01}",0.487,0.1591,0.344,0.485,13.7,7.4,0.429
