window,signal,date,stock,fwd_20,short_pnl_contrib
CH,tf,2023-01-03,2886,0.09539474,-0.00681391
CH,tf,2023-01-03,2884,0.05882353,-0.004201680714285714
CH,tf,2023-01-03,2002,0.051839463,-0.003702818785714286
CH,tf,2023-01-03,5522,0.040780142,-0.0029128672857142855
CH,tf,2023-01-03,4904,0.040601503,-0.002900107357142857
CH,tf,2023-02-10,2603,0.16376306,-0.011697361428571426
CH,tf,2023-02-10,3034,0.09855454,-0.007039609999999999
CH,tf,2023-02-10,2344,0.07158837,-0.005113454999999999
CH,tf,2023-02-10,3661,0.06882169,-0.004915835
CH,tf,2023-02-10,2409,0.054380666,-0.003884333285714286
CH,tf,2023-03-14,3034,0.09569378,-0.00683527
CH,tf,2023-03-14,1590,0.08294931,-0.005924950714285714
CH,tf,2023-03-14,2201,0.07773386,-0.005552418571428571
CH,tf,2023-03-14,2357,0.07456979,-0.005326413571428571
CH,tf,2023-03-14,1301,0.056179777,-0.004012841214285714
CH,tf,2023-04-14,2357,0.08007117,-0.0066725974999999995
CH,tf,2023-04-14,2891,0.046666667,-0.0038888889166666667
CH,tf,2023-04-14,2618,0.036968578,-0.0030807148333333334
CH,tf,2023-04-14,2884,0.017821781,-0.0014851484166666664
CH,tf,2023-04-14,2882,0.009259259,-0.0007716049166666667
CH,tf,2023-05-15,2382,0.36633664,-0.026166902857142856
CH,tf,2023-05-15,2618,0.2905526,-0.02075375714285714
CH,tf,2023-05-15,1503,0.27391306,-0.01956521857142857
CH,tf,2023-05-15,2610,0.19109948,-0.013649962857142855
CH,tf,2023-05-15,2330,0.17425743,-0.012446959285714284
CH,tf,2023-06-12,2610,0.17362638,-0.013355875384615384
CH,tf,2023-06-12,2345,0.13788301,-0.010606385384615386
CH,tf,2023-06-12,9921,0.10165485,-0.007819603846153846
CH,tf,2023-06-12,3661,0.09859155,-0.007583965384615385
CH,tf,2023-06-12,9914,0.09798995,-0.007537688461538463
CH,tf,2023-07-12,2890,0.022727273,-0.0016233766428571427
CH,tf,2023-07-12,2880,0.020594966,-0.0014710689999999998
CH,tf,2023-07-12,2542,0.014018691,-0.0010013350714285713
CH,tf,2023-07-12,9945,-0.0042613638,0.00030438312857142854
CH,tf,2023-07-12,2312,-0.012383901,0.0008845643571428571
CH,tf,2023-08-10,2882,-0.0032292788,0.00023066277142857143
CH,tf,2023-08-10,9945,-0.0071326676,0.0005094762571428571
CH,tf,2023-08-10,3045,-0.008483564,0.0006059688571428571
CH,tf,2023-08-10,2412,-0.012711864,0.0009079902857142857
CH,tf,2023-08-10,1301,-0.022619048,0.0016156462857142857
CH,tf,2023-09-07,2454,0.1480959,-0.010578278571428571
CH,tf,2023-09-07,2903,0.038297873,-0.0027355623571428574
CH,tf,2023-09-07,3045,0.02566845,-0.0018334607142857142
CH,tf,2023-09-07,2812,0.010135135,-0.0007239382142857142
CH,tf,2023-09-07,2548,0.0011135858,-7.954184285714286e-05
CH,tf,2023-10-06,1590,0.089108914,-0.006364922428571428
CH,tf,2023-10-06,9933,0.081115335,-0.0057939524999999995
CH,tf,2023-10-06,4904,0.055256065,-0.003946861785714286
CH,tf,2023-10-06,2313,0.05172414,-0.0036945814285714285
CH,tf,2023-10-06,1402,0.032534245,-0.002323874642857143
CH,tf,2023-11-07,2880,0.06235012,-0.0044535799999999995
CH,tf,2023-11-07,2890,0.051630434,-0.003687888142857143
CH,tf,2023-11-07,1402,0.049751244,-0.0035536602857142857
CH,tf,2023-11-07,9904,0.045454547,-0.0032467533571428567
CH,tf,2023-11-07,2884,0.040733196,-0.0029095139999999998
CH,tf,2023-12-05,2615,0.11111111,-0.007936507857142857
CH,tf,2023-12-05,2002,0.017142856,-0.0012244897142857144
CH,tf,2023-12-05,2637,0.013333334,-0.000952381
CH,tf,2023-12-05,9904,-0.001610306,0.00011502185714285713
CH,tf,2023-12-05,2883,-0.004048583,0.00028918449999999996
CH,tf,2024-01-03,2912,0.009345794,-0.0007788161666666666
CH,tf,2024-01-03,2412,0.008403362,-0.0007002801666666665
CH,tf,2024-01-03,1707,0.0,-0.0
CH,tf,2024-01-03,3045,-0.0020222447,0.00016852039166666668
CH,tf,2024-01-03,2801,-0.0056497175,0.00047080979166666667
CH,tf,2024-01-31,2354,0.08858268,-0.006327334285714285
CH,tf,2024-01-31,2887,0.03768116,-0.0026915114285714285
CH,tf,2024-01-31,2801,0.022727273,-0.0016233766428571427
CH,tf,2024-01-31,2412,0.0125,-0.0008928571428571428
CH,tf,2024-01-31,1707,0.0097402595,-0.0006957328214285714
CH,tf,2024-03-11,2882,0.068817206,-0.004915514714285714
CH,tf,2024-03-11,2354,0.068716094,-0.004908292428571429
CH,tf,2024-03-11,2912,0.037383176,-0.0026702268571428566
CH,tf,2024-03-11,2542,0.028785983,-0.002056141642857143
CH,tf,2024-03-11,1301,0.023088023,-0.0016491445
CH,tf,2024-04-10,2610,0.13533835,-0.009667025
CH,tf,2024-04-10,2542,0.09975669,-0.0071254778571428565
CH,tf,2024-04-10,2201,0.054834057,-0.0039167183571428565
CH,tf,2024-04-10,1101,0.027777778,-0.001984127
CH,tf,2024-04-10,1326,0.01981982,-0.0014157014285714285
CH,tf,2024-05-09,2231,0.21860465,-0.01681574230769231
CH,tf,2024-05-09,2542,0.071902655,-0.005530973461538462
CH,tf,2024-05-09,1101,0.034534536,-0.002656502769230769
CH,tf,2024-05-09,2610,0.01986755,-0.0015282730769230772
CH,tf,2024-05-09,6770,0.016427105,-0.0012636234615384617
CH,tf,2024-06-06,2312,0.34463277,-0.024616626428571424
CH,tf,2024-06-06,2337,0.06818182,-0.00487013
CH,tf,2024-06-06,5880,0.030947777,-0.0022105554999999996
CH,tf,2024-06-06,2912,0.023765996,-0.001697571142857143
CH,tf,2024-06-06,2002,-0.008438818,0.0006027727142857144
CH,tf,2024-07-05,2912,0.0017857143,-0.00012755102142857143
CH,tf,2024-07-05,2886,-0.013064133,0.0009331523571428571
CH,tf,2024-07-05,2892,-0.013961606,0.0009972575714285714
CH,tf,2024-07-05,5880,-0.018761726,0.0013401232857142857
CH,tf,2024-07-05,1101,-0.023121387,0.0016515276428571428
CH,tf,2024-08-06,3661,0.101149425,-0.007224958928571428
CH,tf,2024-08-06,9910,0.037593983,-0.0026852844999999998
CH,tf,2024-08-06,2412,0.004115226,-0.00029394471428571427
CH,tf,2024-08-06,2912,-0.0035650623,0.00025464730714285714
CH,tf,2024-08-06,2337,-0.027881041,0.0019915029285714285
CH,tf,2024-09-03,1590,0.25618812,-0.018299151428571428
CH,tf,2024-09-03,2201,0.19367589,-0.01383399214285714
CH,tf,2024-09-03,2002,0.12264151,-0.008760107857142856
CH,tf,2024-09-03,1303,0.12222222,-0.008730158571428571
CH,tf,2024-09-03,1301,0.1106383,-0.007902735714285713
CH,tf,2024-10-04,1802,0.026385223,-0.0018846587857142855
CH,tf,2024-10-04,1215,-0.014141414,0.001010101
CH,tf,2024-10-04,1210,-0.026717557,0.0019083969285714284
CH,tf,2024-10-04,2002,-0.029411765,0.002100840357142857
CH,tf,2024-10-04,9910,-0.040677965,0.002905568928571429
CH,tf,2024-11-05,2231,0.03517588,-0.002512562857142857
CH,tf,2024-11-05,2801,0.008474576,-0.000605326857142857
CH,tf,2024-11-05,5880,0.0039525693,-0.00028232637857142855
CH,tf,2024-11-05,2027,-0.008784773,0.0006274837857142856
CH,tf,2024-11-05,3661,-0.026970955,0.0019264967857142857
CH,tf,2024-12-03,2313,0.113964684,-0.00814033457142857
CH,tf,2024-12-03,2353,0.05950841,-0.004250600714285714
CH,tf,2024-12-03,3034,0.04338843,-0.0030991735714285713
CH,tf,2024-12-03,2634,0.022909507,-0.001636393357142857
CH,tf,2024-12-03,2385,0.009868421,-0.0007048872142857142
CH,tf,2024-12-31,6770,0.07324841,-0.005232029285714286
CH,tf,2024-12-31,3034,0.06534653,-0.004667609285714285
CH,tf,2024-12-31,9921,0.024911031,-0.001779359357142857
CH,tf,2024-12-31,2385,0.016286645,-0.0011633317857142856
CH,tf,2024-12-31,1303,0.011705685,-0.0008361203571428572
CH,tf,2025-02-07,2408,0.35714287,-0.025510204999999998
CH,tf,2025-02-07,2344,0.34035087,-0.024310776428571428
CH,tf,2025-02-07,1301,0.16244411,-0.011603150714285713
CH,tf,2025-02-07,9921,0.15625,-0.011160714285714284
CH,tf,2025-02-07,9914,0.12658228,-0.009041591428571428
CH,tf,2025-03-10,2634,0.028761063,-0.0020543616428571427
CH,tf,2025-03-10,2303,-0.022296544,0.0015926102857142857
CH,tf,2025-03-10,5880,-0.022633744,0.001616696
CH,tf,2025-03-10,2890,-0.054054055,0.003861003928571428
CH,tf,2025-03-10,9933,-0.066587396,0.004756242571428571
CH,tf,2025-04-09,1503,0.33333334,-0.023809524285714284
CH,tf,2025-04-09,3037,0.21317829,-0.015227020714285713
CH,tf,2025-04-09,1513,0.16666667,-0.011904762142857142
CH,tf,2025-04-09,9921,0.10775862,-0.007697044285714286
CH,tf,2025-04-09,2890,0.104761906,-0.007482993285714286
CH,tf,2025-05-08,2892,0.0655106,-0.0054592166666666666
CH,tf,2025-05-08,2890,0.038793102,-0.0032327585000000002
CH,tf,2025-05-08,2303,0.0021953897,-0.00018294914166666666
CH,tf,2025-05-08,9945,-0.022580646,0.0018817204999999999
CH,tf,2025-05-08,5880,-0.024048096,0.002004008
