feature_set,feature,nan_frac_in_dataset,note
close_only,log_ret_1,0.0,all-finite-window rule excludes NaNs upstream
close_only,mom_5,0.0,all-finite-window rule excludes NaNs upstream
close_only,mom_20,0.0,all-finite-window rule excludes NaNs upstream
close_only,mom_60,0.0,all-finite-window rule excludes NaNs upstream
close_only,mom_126_5,0.0,all-finite-window rule excludes NaNs upstream
close_only,vol_20,0.0,all-finite-window rule excludes NaNs upstream
close_only,vol_60,0.0,all-finite-window rule excludes NaNs upstream
close_only,dist_hi_60,0.0,all-finite-window rule excludes NaNs upstream
close_only,dist_lo_60,0.0,all-finite-window rule excludes NaNs upstream
close_only,px_over_ma20,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,log_ret_1,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,oc_ret,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,overnight_gap,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,hl_range,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,true_range,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,atr_ratio,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,close_loc,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,range_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,vol_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,turn_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,vol_ma_ratio,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,log_vol_chg,0.0,all-finite-window rule excludes NaNs upstream
v13_f1,illiq_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,log_ret_1,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,oc_ret,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,overnight_gap,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,hl_range,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,true_range,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,atr_ratio,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,close_loc,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,range_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,vol_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,turn_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,vol_ma_ratio,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,log_vol_chg,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,illiq_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,mom_5,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,mom_10,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,mom_20,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,mom_60,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,mom_126_5,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,mom_252,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,vol_5,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,vol_20,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,vol_60,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,dist_hi_60,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,dist_lo_60,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,px_over_ma20,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,px_over_ma60,0.0,all-finite-window rule excludes NaNs upstream
v13_f2,dd_252,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,log_ret_1,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,oc_ret,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,overnight_gap,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,hl_range,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,true_range,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,atr_ratio,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,close_loc,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,range_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,vol_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,turn_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,vol_ma_ratio,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,log_vol_chg,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,illiq_z,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,mom_5,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,mom_10,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,mom_20,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,mom_60,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,mom_126_5,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,mom_252,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,vol_5,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,vol_20,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,vol_60,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,dist_hi_60,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,dist_lo_60,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,px_over_ma20,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,px_over_ma60,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,dd_252,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,xs_mom20_rank,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,xs_d12_rank,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,xs_vol20_rank,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,xs_adv_rank,0.0,all-finite-window rule excludes NaNs upstream
v13_f3,xs_voladj_mom_z,0.0,all-finite-window rule excludes NaNs upstream
