id,phase,feature_set,status,n_features,val_ic,blend_LS_net60,blend_LS_dd,blend_turnover,tf_LS_net60,train_s,error,q5_overlap_vs_close_only
P2_screen_close_only,P2,close_only,done,10,0.04813,1.969,-0.1054,0.30140248165433486,1.656,1604.3,,
P2_screen_v13_f1,P2,v13_f1,done,13,0.04938,1.42,-0.2083,0.44828845435585185,0.752,2097.2,,0.241
P2_screen_v13_f2,P2,v13_f2,done,27,0.06411,2.101,-0.0839,0.4209065887162597,1.225,1927.2,,0.302
P2_screen_v13_f3,P2,v13_f3,done,32,0.06737,1.447,-0.2481,0.389867362692894,1.041,1255.5,,0.324
P2_screen_v13_f4,P2,v13_f4,done,37,0.062,1.523,-0.1819,0.3787080136994743,1.113,1017.3,,0.357
P2_screen_v13_f5,P2,v13_f5,done,40,0.07075,1.592,-0.2138,0.4195409923817969,0.772,1183.0,,0.343
P2_screen_v13_f6,P2,v13_f6,done,44,0.06446,1.547,-0.2235,0.39251397044178293,0.73,1171.6,,0.345
P3_xl_close_only,P3,close_only,done,10,,,,,,,,
P3_xl_BEST_FROM_P2,P3,v13_f2,done,27,,,,,,,,0.302
P3_xl_v13_f6,P3,v13_f6,done,44,,,,,,,,0.345
P2B_v13_f2_CH_7s,P2B,v13_f2,done,27,0.06907,1.601,-0.1293,0.42289496204348676,1.403,3085.6,,0.302
P2B_v13_f2_BR_7s,P2B,v13_f2,done,27,0.07411,1.011,-0.2262,0.44318221550896525,0.723,3443.5,,0.302
P2B_v13_f2_CH_bat,P2B,v13_f2,done,27,0.0648,1.682,-0.1622,0.439284847172052,1.005,2255.3,,0.302
P2B_v13_f2_BR_bat,P2B,v13_f2,done,27,0.07486,1.076,-0.259,0.45196305421186483,0.75,3154.6,,0.302
