feature_set,model,epoch,train_loss,val_ic,grad_norm_mean,epoch_s,peak_vram_gb,micro_batch,eff_batch,lr
v13_f2,S_ref,0,0.33556,-0.0474,0.13,5.6,2.15,1024,1024,0.0003
v13_f2,S_ref,1,0.33331,-0.02687,0.092,4.4,2.15,1024,1024,0.0003
v13_f2,S_ref,2,0.33186,-0.01041,0.089,4.4,2.15,1024,1024,0.0003
v13_f2,S_ref,3,0.33028,0.01865,0.108,4.5,2.15,1024,1024,0.0003
v13_f2,S_ref,4,0.32762,0.03142,0.132,5.1,2.15,1024,1024,0.0003
v13_f2,S_ref,5,0.32549,0.06159,0.159,4.6,2.15,1024,1024,0.0003
v13_f2,S_ref,6,0.32342,0.06274,0.168,4.6,2.15,1024,1024,0.0003
v13_f2,S_ref,7,0.32089,0.06376,0.174,4.5,2.15,1024,1024,0.0003
v13_f2,XL,0,0.34449,0.02353,0.428,1134.2,7.43,64,1024,0.0003
v13_f2,XL,1,0.33492,0.00951,0.137,1140.5,8.6,64,1024,0.0003
v13_f2,XL,2,0.33439,0.00318,0.121,1141.0,8.59,64,1024,0.0003
v13_f2,XL,3,0.33375,,0.105,1142.1,8.59,64,1024,0.0003
v13_f2,XL,4,0.33362,0.00225,0.101,1144.7,8.59,64,1024,0.0003
v13_f2,XL,5,0.33344,0.16744,0.095,1142.9,8.59,64,1024,0.0003
v13_f2,XL,6,0.33335,0.00397,0.087,1142.2,8.59,64,1024,0.0003
v13_f2,XL,7,0.33328,0.0255,0.084,1142.5,8.59,64,1024,0.0003
v13_f6,S_ref,0,0.33461,-0.07392,0.133,5.7,3.16,1024,1024,0.0003
v13_f6,S_ref,1,0.33142,-0.02898,0.073,5.0,3.16,1024,1024,0.0003
v13_f6,S_ref,2,0.3296,-0.00251,0.08,4.6,3.16,1024,1024,0.0003
v13_f6,S_ref,3,0.32742,0.01321,0.094,4.8,3.16,1024,1024,0.0003
v13_f6,S_ref,4,0.32404,0.06249,0.137,4.5,3.16,1024,1024,0.0003
v13_f6,S_ref,5,0.32002,0.06572,0.203,5.4,3.16,1024,1024,0.0003
v13_f6,S_ref,6,0.31607,0.08674,0.232,4.6,3.16,1024,1024,0.0003
v13_f6,S_ref,7,0.3118,0.06335,0.297,4.7,3.16,1024,1024,0.0003
v13_f6,XL,0,0.3513,,0.61,1147.3,8.44,64,1024,0.0003
v13_f6,XL,1,0.33359,,0.205,1146.5,8.43,64,1024,0.0003
v13_f6,XL,2,0.33346,,0.178,1145.9,8.43,64,1024,0.0003
v13_f6,XL,3,0.33326,,0.147,1146.3,8.43,64,1024,0.0003
v13_f6,XL,4,0.33318,,0.123,1110.2,8.43,64,1024,0.0003
v13_f6,XL,5,0.33316,,0.096,1106.0,8.43,64,1024,0.0003
v13_f6,XL,6,0.33315,,0.063,1106.2,8.43,64,1024,0.0003
v13_f6,XL,7,0.33314,,0.047,1485.4,8.43,64,1024,0.0003
