action,gap_bin,n,mean_net,median_net,win_rate,profit_factor,t_stat,p5,p95,worst,mean_hi,mean_lo,direction,data_quality,live_trading_allowed
BOTTOM_Q,<=-5,115.0,0.00904,-0.003,0.38261,2.08145,2.47177,-0.04127,0.08553,-0.05923,0.03082,-0.0113,long,DAILY_BAR_PROXY_ONLY,False
BOTTOM_Q,-5..-3,175.0,-0.00115,4e-05,0.50286,0.9034,-0.4916,-0.05722,0.05239,-0.10617,0.0231,-0.01891,long,DAILY_BAR_PROXY_ONLY,False
BOTTOM_Q,-3..-2,376.0,-4e-05,0.00049,0.51064,0.99555,-0.03241,-0.04144,0.03515,-0.08201,0.01947,-0.01512,long,DAILY_BAR_PROXY_ONLY,False
BOTTOM_Q,-2..-1,1306.0,-0.00301,-0.003,0.43415,0.67633,-4.98664,-0.03891,0.02843,-0.09072,0.01533,-0.01423,long,DAILY_BAR_PROXY_ONLY,False
BOTTOM_Q,-1..0,12593.0,-0.00405,-0.003,0.33955,0.43949,-31.90478,-0.02611,0.01716,-0.09789,0.00925,-0.00974,long,DAILY_BAR_PROXY_ONLY,False
BOTTOM_Q,0..1,10309.0,-0.00421,-0.00488,0.3333,0.47386,-27.09691,-0.02773,0.02081,-0.10927,0.01024,-0.0106,long,DAILY_BAR_PROXY_ONLY,False
BOTTOM_Q,1..2,2471.0,-0.00426,-0.0066,0.35168,0.58027,-10.09511,-0.03294,0.03248,-0.11831,0.01474,-0.01472,long,DAILY_BAR_PROXY_ONLY,False
BOTTOM_Q,2..3,445.0,-0.00265,-0.0048,0.41124,0.77059,-2.03097,-0.04124,0.05283,-0.12065,0.02008,-0.01849,long,DAILY_BAR_PROXY_ONLY,False
BOTTOM_Q,3..5,213.0,-0.00502,-0.00446,0.42723,0.68657,-2.1385,-0.06158,0.0545,-0.13845,0.02596,-0.02541,long,DAILY_BAR_PROXY_ONLY,False
BOTTOM_Q,>=5,136.0,-0.01308,-0.003,0.23529,0.29243,-4.71049,-0.08091,0.03329,-0.16608,0.01294,-0.03007,long,DAILY_BAR_PROXY_ONLY,False
