window,mode,convention,ret_col,n_rebal,turnover,net0_sharpe,net60_sharpe,net100_sharpe,net150_sharpe,net60_ann_ret,net60_max_dd,net60_hit,avg_rebal_ret_net60,yearly_net60
CH,long_short,A/E: T+1 close -> T+21 close,ret_c1,42,0.301,2.371,2.147,1.997,1.81,0.5323,-0.1063,0.714,0.03445,"{""2023"": {""sharpe"": 2.35, ""mean_pct"": 2.53, ""n"": 12}, ""2024"": {""sharpe"": 1.6, ""mean_pct"": 2.06, ""n"": 13}, ""2025"": {""sharpe"": 1.64, ""mean_pct"": 3.72, ""n"": 12}, ""2026"": {""sharpe"": 9.74, ""mean_pct"": 8.58, ""n"": 5}}"
CH,long_short,B: T+1 open -> T+21 open,ret_o1,42,0.301,2.387,2.158,2.005,1.813,0.5187,-0.1059,0.714,0.03372,"{""2023"": {""sharpe"": 2.4, ""mean_pct"": 2.63, ""n"": 12}, ""2024"": {""sharpe"": 1.79, ""mean_pct"": 2.12, ""n"": 13}, ""2025"": {""sharpe"": 1.66, ""mean_pct"": 3.8, ""n"": 12}, ""2026"": {""sharpe"": 7.86, ""mean_pct"": 7.36, ""n"": 5}}"
CH,long_short,D: T+2 open -> T+22 open,ret_o2,42,0.301,2.254,2.048,1.91,1.737,0.5601,-0.109,0.69,0.03593,"{""2023"": {""sharpe"": 2.01, ""mean_pct"": 2.45, ""n"": 12}, ""2024"": {""sharpe"": 1.49, ""mean_pct"": 2.2, ""n"": 13}, ""2025"": {""sharpe"": 1.76, ""mean_pct"": 4.14, ""n"": 12}, ""2026"": {""sharpe"": 5.72, ""mean_pct"": 8.64, ""n"": 5}}"
CH,long_short,F (diagnostic): T close -> T+20 close,ret_c0,42,0.301,2.333,2.115,1.97,1.787,0.5373,-0.109,0.714,0.03472,"{""2023"": {""sharpe"": 2.28, ""mean_pct"": 2.61, ""n"": 12}, ""2024"": {""sharpe"": 1.68, ""mean_pct"": 2.08, ""n"": 13}, ""2025"": {""sharpe"": 1.65, ""mean_pct"": 3.84, ""n"": 12}, ""2026"": {""sharpe"": 6.6, ""mean_pct"": 8.27, ""n"": 5}}"
CH,long_short,decay: T+2 close -> T+22 close,ret_c2,42,0.301,2.11,1.921,1.794,1.636,0.5707,-0.114,0.69,0.03648,"{""2023"": {""sharpe"": 2.24, ""mean_pct"": 2.69, ""n"": 12}, ""2024"": {""sharpe"": 1.39, ""mean_pct"": 2.24, ""n"": 13}, ""2025"": {""sharpe"": 1.66, ""mean_pct"": 4.29, ""n"": 12}, ""2026"": {""sharpe"": 3.91, ""mean_pct"": 8.07, ""n"": 5}}"
CH,long_only,A/E: T+1 close -> T+21 close,ret_c1,42,0.254,2.058,1.989,1.943,1.885,0.7105,-0.2379,0.762,0.04352,"{""2023"": {""sharpe"": 2.55, ""mean_pct"": 4.12, ""n"": 12}, ""2024"": {""sharpe"": 1.01, ""mean_pct"": 1.55, ""n"": 13}, ""2025"": {""sharpe"": 1.64, ""mean_pct"": 4.75, ""n"": 12}, ""2026"": {""sharpe"": 5.12, ""mean_pct"": 11.23, ""n"": 5}}"
CH,long_only,B: T+1 open -> T+21 open,ret_o1,42,0.254,1.985,1.918,1.873,1.816,0.6918,-0.2344,0.786,0.04261,"{""2023"": {""sharpe"": 2.55, ""mean_pct"": 4.17, ""n"": 12}, ""2024"": {""sharpe"": 0.95, ""mean_pct"": 1.66, ""n"": 13}, ""2025"": {""sharpe"": 1.64, ""mean_pct"": 4.9, ""n"": 12}, ""2026"": {""sharpe"": 4.52, ""mean_pct"": 9.7, ""n"": 5}}"
CH,long_only,D: T+2 open -> T+22 open,ret_o2,42,0.254,1.932,1.87,1.829,1.777,0.747,-0.2702,0.738,0.04527,"{""2023"": {""sharpe"": 2.38, ""mean_pct"": 4.1, ""n"": 12}, ""2024"": {""sharpe"": 0.99, ""mean_pct"": 1.69, ""n"": 13}, ""2025"": {""sharpe"": 1.6, ""mean_pct"": 5.27, ""n"": 12}, ""2026"": {""sharpe"": 4.3, ""mean_pct"": 11.14, ""n"": 5}}"
CH,long_only,F (diagnostic): T close -> T+20 close,ret_c0,42,0.254,1.776,1.719,1.68,1.632,0.7241,-0.3169,0.738,0.04418,"{""2023"": {""sharpe"": 2.51, ""mean_pct"": 4.12, ""n"": 12}, ""2024"": {""sharpe"": 0.88, ""mean_pct"": 1.66, ""n"": 13}, ""2025"": {""sharpe"": 1.37, ""mean_pct"": 5.16, ""n"": 12}, ""2026"": {""sharpe"": 4.66, ""mean_pct"": 10.54, ""n"": 5}}"
CH,long_only,decay: T+2 close -> T+22 close,ret_c2,42,0.254,1.984,1.921,1.878,1.826,0.7584,-0.2221,0.738,0.04581,"{""2023"": {""sharpe"": 2.36, ""mean_pct"": 4.34, ""n"": 12}, ""2024"": {""sharpe"": 1.02, ""mean_pct"": 1.8, ""n"": 13}, ""2025"": {""sharpe"": 1.72, ""mean_pct"": 5.31, ""n"": 12}, ""2026"": {""sharpe"": 3.82, ""mean_pct"": 10.64, ""n"": 5}}"
BR,long_short,A/E: T+1 close -> T+21 close,ret_c1,67,0.298,1.653,1.443,1.302,1.125,0.3486,-0.1803,0.672,0.02402,"{""2021"": {""sharpe"": 1.31, ""mean_pct"": 2.65, ""n"": 13}, ""2022"": {""sharpe"": -0.15, ""mean_pct"": -0.21, ""n"": 12}, ""2023"": {""sharpe"": 1.95, ""mean_pct"": 3.42, ""n"": 12}, ""2024"": {""sharpe"": 1.5, ""mean_pct"": 1.82, ""n"": 12}, ""2025"": {""sharpe"": 1.36, ""mean_pct"": 2.17, ""n"": 12}, ""2026"": {""sharpe"": 3.5, ""mean_pct"": 6.67, ""n"": 6}}"
