window,group,n,gap_mean_bps,gap_median_bps,intra_mean_bps,gap_p90_bps,gap_p10_bps
BR,role=entrant,293,15.3,11.5,-51.2,150.7,-125.1
BR,role=exit,264,36.4,0.0,-33.9,175.9,-110.8
BR,role=incumbent,1119,20.3,27.5,-44.9,172.8,-137.0
CH,role=entrant,181,67.8,26.3,35.0,250.0,-90.1
CH,role=exit,155,82.7,32.2,19.7,208.3,-76.5
CH,role=incumbent,706,55.1,33.8,-1.6,278.4,-136.5
BR,quintile=1,9,135.4,28.3,48.2,325.7,-51.7
BR,quintile=2,18,135.1,95.7,-130.2,320.0,0.0
BR,quintile=3,58,26.2,24.3,-20.9,154.9,-134.3
BR,quintile=4,263,22.4,0.0,-26.5,152.7,-93.7
BR,quintile=5,1328,19.4,26.9,-48.3,170.7,-137.4
CH,quintile=1,8,223.8,139.9,34.6,464.8,43.2
CH,quintile=2,12,194.9,45.2,10.1,905.7,-78.6
CH,quintile=3,22,31.9,0.0,-31.2,160.2,-63.7
CH,quintile=4,169,55.0,19.3,3.9,181.9,-94.3
CH,quintile=5,831,60.0,33.7,9.5,284.4,-119.5
BR,sector=electronics,458,10.1,12.8,-43.5,184.3,-168.8
BR,sector=semis,353,36.7,42.5,-41.9,193.0,-146.7
CH,sector=electronics,368,60.6,33.8,5.1,269.2,-108.5
CH,sector=semis,221,71.7,36.8,3.0,347.5,-131.1
