symbol,old_lines,new_lines,existing_rows_modified_or_removed,rows_added,unexplained_added_dates,byte_identical
0050,2846,2846,0,0,,True
0056,2808,2808,0,0,,True
1101,2794,2794,0,0,,True
1102,2850,2850,0,0,,True
1201,2851,2851,0,0,,True
1210,2851,2851,0,0,,True
1215,2851,2851,0,0,,True
1216,2850,2850,0,0,,True
1227,2851,2851,0,0,,True
1229,2809,2809,0,0,,True
1231,2851,2851,0,0,,True
1301,2851,2851,0,0,,True
1303,2851,2851,0,0,,True
1326,2851,2851,0,0,,True
1402,2851,2851,0,0,,True
1434,2851,2851,0,0,,True
1476,2851,2851,0,0,,True
1503,2851,2851,0,0,,True
1513,2851,2851,0,0,,True
1519,2851,2851,0,0,,True
1590,2851,2851,0,0,,True
1707,2851,2851,0,0,,True
1789,2851,2851,0,0,,True
1802,2851,2851,0,0,,True
2002,2787,2809,0,22,,False
2015,2851,2851,0,0,,True
2027,2850,2850,0,0,,True
2201,2803,2803,0,0,,True
2207,2792,2792,0,0,,True
2231,2850,2850,0,0,,True
2303,2808,2808,0,0,,True
2308,2830,2830,0,0,,True
2312,2819,2831,0,12,,False
2313,2773,2773,0,0,,True
2317,2803,2824,0,21,,False
2324,2850,2850,0,0,,True
2330,2851,2851,0,0,,True
2337,2822,2842,0,20,,False
2344,2789,2810,0,21,,False
2345,2831,2831,0,0,,True
2351,2808,2829,0,21,,False
2353,2838,2838,0,0,,True
2354,2850,2850,0,0,,True
2356,2789,2789,0,0,,True
2357,2851,2851,0,0,,True
2360,2809,2809,0,0,,True
2368,2844,2844,0,0,,True
2376,2830,2851,0,21,,False
2377,2851,2851,0,0,,True
2379,2789,2789,0,0,,True
2382,2605,2626,0,21,,False
2385,2831,2851,0,20,,False
2401,2851,2851,0,0,,True
2408,2831,2851,0,20,,False
2409,2809,2844,0,35,,False
2412,2811,2811,0,0,,True
2449,2850,2850,0,0,,True
2451,2851,2851,0,0,,True
2454,2835,2835,0,0,,True
2458,2844,2844,0,0,,True
2542,2851,2851,0,0,,True
2548,2829,2829,0,0,,True
2603,2844,2844,0,0,,True
2606,2851,2851,0,0,,True
2609,2803,2803,0,0,,True
2610,2798,2851,0,53,,False
2615,2829,2829,0,0,,True
2618,2851,2851,0,0,,True
2634,2851,2851,0,0,,True
2637,2851,2851,0,0,,True
2723,2851,2851,0,0,,True
2801,2851,2851,0,0,,True
2812,2851,2851,0,0,,True
2845,2851,2851,0,0,,True
2880,2808,2808,0,0,,True
2881,2830,2830,0,0,,True
2882,2830,2830,0,0,,True
2883,2830,2851,0,21,,False
2884,2812,2812,0,0,,True
2886,2836,2851,0,15,,False
2887,2850,2850,0,0,,True
2890,2851,2851,0,0,,True
2891,2851,2851,0,0,,True
2892,2851,2851,0,0,,True
2903,2828,2828,0,0,,True
2912,2828,2828,0,0,,True
2915,2844,2844,0,0,,True
3008,2831,2831,0,0,,True
3034,2809,2829,0,20,,False
3037,2559,2600,0,41,,False
3045,2698,2698,0,0,,True
3231,2851,2851,0,0,,True
3443,2796,2816,0,20,,False
3661,2830,2830,0,0,,True
3711,1954,1976,0,22,,False
4133,2851,2851,0,0,,True
4904,2830,2830,0,0,,True
4938,2850,2850,0,0,,True
5522,2851,2851,0,0,,True
5880,2790,2831,0,41,,False
5903,2841,2841,0,0,,True
6414,2849,2849,0,0,,True
6446,637,637,0,0,,True
6770,1138,1138,0,0,,True
9904,2828,2828,0,0,,True
9910,2811,2832,0,21,,False
9914,2836,2836,0,0,,True
9921,2829,2829,0,0,,True
9933,2831,2831,0,0,,True
9945,2837,2837,0,0,,True
