symbol,missing_before,missing_after,window_191_contiguous,status,after_unrepaired,after_market_open_no_data,after_confirmed_no_trade
1101,57,57,True,PASS,56,1,0
2317,48,27,True,PASS,26,1,0
2337,29,9,True,PASS,9,0,0
2344,62,41,True,PASS,41,0,0
2351,43,22,True,PASS,22,0,0
2382,246,225,True,PASS,225,0,0
2385,20,0,True,PASS,0,0,0
2408,20,0,True,PASS,0,0,0
2409,42,7,True,PASS,7,0,0
2610,53,0,True,PASS,0,0,0
2884,39,39,True,PASS,38,1,0
2886,15,0,True,PASS,0,0,0
2887,1,1,True,PASS,0,1,0
3034,42,22,True,PASS,22,0,0
3037,292,251,True,PASS,251,0,0
3711,88,66,True,PASS,66,0,0
9910,40,19,True,PASS,19,0,0
9933,20,20,True,PASS,19,1,0
