symbol,missing_start,missing_end,interval_sessions,fetch_month,expected_sessions_in_request,priority,recent_input_impact,training_impact_samples
1101,2025-08-13,2025-08-13,1,2025-08,1,P1,False,212
2317,2025-07-30,2025-07-30,1,2025-07,1,P1,False,212
2884,2025-11-05,2025-11-05,1,2025-11,1,P1,False,212
9933,2025-05-13,2025-05-13,1,2025-05,1,P1,False,212
1101,2017-04-19,2017-04-20,2,2017-04,2,P2,False,213
1102,2024-06-05,2024-06-05,1,2024-06,1,P2,False,212
1216,2017-07-27,2017-07-27,1,2017-07,1,P2,False,212
1229,2019-03-28,2019-03-28,1,2019-03,1,P2,False,212
2027,2018-10-02,2018-10-02,1,2018-10,1,P2,False,212
2201,2020-03-30,2020-03-30,1,2020-03,1,P2,False,212
2201,2020-10-07,2020-10-16,7,2020-10,7,P2,False,218
2231,2019-01-21,2019-01-21,1,2019-01,1,P2,False,212
2303,2018-06-29,2018-06-29,1,2018-06,1,P2,False,212
2317,2016-03-30,2016-03-30,1,2016-03,1,P2,False,212
2317,2018-10-18,2018-10-25,6,2018-10,6,P2,False,217
2324,2018-08-07,2018-08-07,1,2018-08,1,P2,False,212
2337,2017-08-15,2017-08-25,9,2017-08,9,P2,False,220
2354,2016-03-30,2016-03-30,1,2016-03,1,P2,False,212
2368,2022-09-07,2022-09-16,7,2022-09,7,P2,False,218
2409,2022-09-29,2022-10-07,7,2022-09,2,P2,False,218
2409,2022-09-29,2022-10-07,7,2022-10,5,P2,False,218
2449,2024-04-26,2024-04-26,1,2024-04,1,P2,False,212
2454,2016-05-13,2016-05-13,1,2016-05,1,P2,False,212
2458,2018-10-11,2018-10-19,7,2018-10,7,P2,False,218
2603,2022-09-07,2022-09-16,7,2022-09,7,P2,False,218
2609,2017-04-20,2017-05-03,9,2017-04,7,P2,False,220
2609,2017-04-20,2017-05-03,9,2017-05,2,P2,False,220
2887,2024-08-22,2024-08-22,1,2024-08,1,P2,False,212
2912,2017-07-27,2017-07-27,1,2017-07,1,P2,False,212
2915,2018-10-18,2018-10-26,7,2018-10,7,P2,False,218
3037,2022-02-22,2022-02-22,1,2022-02,1,P2,False,212
4938,2020-08-13,2020-08-13,1,2020-08,1,P2,False,212
5903,2016-04-27,2016-04-27,1,2016-04,1,P2,False,212
5903,2016-10-21,2016-10-24,2,2016-10,2,P2,False,213
5903,2016-12-26,2016-12-27,2,2016-12,2,P2,False,213
5903,2021-06-09,2021-06-09,1,2021-06,1,P2,False,212
5903,2021-10-27,2021-10-27,1,2021-10,1,P2,False,212
5903,2022-10-07,2022-10-07,1,2022-10,1,P2,False,212
5903,2023-09-15,2023-09-15,1,2023-09,1,P2,False,212
5903,2023-09-20,2023-09-20,1,2023-09,1,P2,False,212
6414,2016-10-12,2016-10-12,1,2016-10,1,P2,False,212
6414,2018-03-30,2018-03-30,1,2018-03,1,P2,False,212
9945,2018-09-27,2018-10-05,7,2018-09,2,P2,False,218
9945,2018-09-27,2018-10-05,7,2018-10,5,P2,False,218
9945,2023-09-14,2023-09-22,7,2023-09,7,P2,False,218
