symbol,old_lines,new_lines,existing_rows_modified_or_removed,rows_added,unexplained_added_dates,byte_identical
0050,2846,2852,0,6,,False
0056,2808,2814,0,6,,False
1101,2794,2854,0,60,,False
1102,2850,2856,0,6,,False
1201,2851,2857,0,6,,False
1210,2851,2857,0,6,,False
1215,2851,2857,0,6,,False
1216,2850,2856,0,6,,False
1227,2851,2857,0,6,,False
1229,2809,2856,0,47,,False
1231,2851,2857,0,6,,False
1301,2851,2857,0,6,,False
1303,2851,2857,0,6,,False
1326,2851,2857,0,6,,False
1402,2851,2857,0,6,,False
1434,2851,2857,0,6,,False
1476,2851,2857,0,6,,False
1503,2851,2857,0,6,,False
1513,2851,2857,0,6,,False
1519,2851,2857,0,6,,False
1590,2851,2857,0,6,,False
1707,2851,2857,0,6,,False
1789,2851,2857,0,6,,False
1802,2851,2857,0,6,,False
2002,2787,2857,0,70,,False
2015,2851,2857,0,6,,False
2027,2850,2856,0,6,,False
2201,2803,2849,0,46,,False
2207,2792,2856,0,64,,False
2231,2850,2856,0,6,,False
2303,2808,2856,0,48,,False
2308,2830,2857,0,27,,False
2312,2819,2857,0,38,,False
2313,2773,2857,0,84,,False
2317,2803,2849,0,46,,False
2324,2850,2856,0,6,,False
2330,2851,2857,0,6,,False
2337,2822,2848,0,26,,False
2344,2789,2857,0,68,,False
2345,2831,2857,0,26,,False
2351,2808,2857,0,49,,False
2353,2838,2857,0,19,,False
2354,2850,2856,0,6,,False
2356,2789,2857,0,68,,False
2357,2851,2857,0,6,,False
2360,2809,2857,0,48,,False
2368,2844,2850,0,6,,False
2376,2830,2857,0,27,,False
2377,2851,2857,0,6,,False
2379,2789,2857,0,68,,False
2382,2605,2857,0,252,,False
2385,2831,2857,0,26,,False
2401,2851,2857,0,6,,False
2408,2831,2857,0,26,,False
2409,2809,2850,0,41,,False
2412,2811,2857,0,46,,False
2449,2850,2856,0,6,,False
2451,2851,2857,0,6,,False
2454,2835,2856,0,21,,False
2458,2844,2850,0,6,,False
2542,2851,2857,0,6,,False
2548,2829,2857,0,28,,False
2603,2844,2850,0,6,,False
2606,2851,2857,0,6,,False
2609,2803,2848,0,45,,False
2610,2798,2857,0,59,,False
2615,2829,2857,0,28,,False
2618,2851,2857,0,6,,False
2634,2851,2857,0,6,,False
2637,2851,2857,0,6,,False
2723,2851,2857,0,6,,False
2801,2851,2857,0,6,,False
2812,2851,2857,0,6,,False
2845,2851,2857,0,6,,False
2880,2808,2857,0,49,,False
2881,2830,2857,0,27,,False
2882,2830,2857,0,27,,False
2883,2830,2857,0,27,,False
2884,2812,2856,0,44,,False
2886,2836,2857,0,21,,False
2887,2850,2856,0,6,,False
2890,2851,2857,0,6,,False
2891,2851,2857,0,6,,False
2892,2851,2857,0,6,,False
2903,2828,2857,0,29,,False
2912,2828,2856,0,28,,False
2915,2844,2850,0,6,,False
3008,2831,2857,0,26,,False
3034,2809,2857,0,48,,False
3037,2559,2856,0,297,,False
3045,2698,2857,0,159,,False
3231,2851,2857,0,6,,False
3443,2796,2857,0,61,,False
3661,2830,2857,0,27,,False
3711,1954,2048,0,94,,False
4133,2851,2857,0,6,,False
4904,2830,2857,0,27,,False
4938,2850,2856,0,6,,False
5522,2851,2857,0,6,,False
5880,2790,2857,0,67,,False
5903,2841,2847,0,6,,False
6414,2849,2855,0,6,,False
6446,637,643,0,6,,False
6770,1138,1164,0,26,,False
9904,2828,2857,0,29,,False
9910,2811,2857,0,46,,False
9914,2836,2857,0,21,,False
9921,2829,2857,0,28,,False
9933,2831,2856,0,25,,False
9945,2837,2843,0,6,,False
