panel,signal,rank_ic,turnover,n,sharpe_net60,sharpe_net100,ann_net60,dd_net60
CH,z_tf,0.06328904719948397,0.31065554530332035,42,1.733,1.675,0.6192,-0.2674
CH,z_ridge,0.014493666547186632,0.6279430262371855,42,1.204,1.087,0.3838,-0.357
CH,z_mom,0.07057176266072426,0.30946499319298293,42,1.708,1.648,0.589,-0.3066
CH,blend,0.07390538406448713,0.2539884460932149,42,1.989,1.943,0.7105,-0.2379
CH,blend_ridge,0.05459541409310095,0.4668493797234143,42,1.579,1.495,0.5545,-0.3248
CH,blend3,0.0608826000911578,0.4057727795821245,42,1.739,1.666,0.6293,-0.2841
BR,z_tf,0.028925777624930236,0.29432176201989874,67,1.193,1.136,0.3635,-0.3029
BR,z_ridge,0.0069812600470886685,0.5802991770423075,67,1.01,0.906,0.3209,-0.3287
BR,z_mom,0.03575475929540143,0.2991600343878629,67,1.361,1.301,0.4181,-0.3293
BR,blend,0.03570752367548482,0.2563507953210164,67,1.455,1.405,0.4455,-0.2604
BR,blend_ridge,0.027349507103191385,0.43833618052156714,67,1.231,1.151,0.3927,-0.3054
BR,blend3,0.03013038252563797,0.3708564754807882,67,1.297,1.23,0.4308,-0.2861
