panel,signal,rank_ic,turnover,n,sharpe_net60,sharpe_net100,ann_net60,dd_net60
CH,z_tf,0.06328904719948397,0.31065554530332035,42,1.733,1.675,0.6192,-0.2674
CH,z_ridge,0.006143280222942753,0.6545214179558144,42,1.107,0.985,0.347,-0.3487
CH,z_mom,0.07057176266072426,0.30946499319298293,42,1.708,1.648,0.589,-0.3066
CH,blend,0.07390538406448713,0.2539884460932149,42,1.989,1.943,0.7105,-0.2379
CH,blend_ridge,0.045899017412964684,0.5085177446754903,42,1.575,1.486,0.5886,-0.3366
CH,blend3,0.05473794367884363,0.41985375673408565,42,1.804,1.728,0.6596,-0.297
BR,z_tf,0.028925777624930236,0.2943217620198987,67,1.193,1.136,0.3635,-0.3029
BR,z_ridge,0.0062957852534624315,0.615290615442725,67,0.726,0.61,0.2127,-0.3069
BR,z_mom,0.03575475929540143,0.2991600343878629,67,1.361,1.301,0.4181,-0.3293
BR,blend,0.03570752367548482,0.2563507953210164,67,1.455,1.405,0.4455,-0.2604
BR,blend_ridge,0.024357116913430905,0.48774827150246897,67,1.086,0.994,0.3328,-0.3035
BR,blend3,0.026383435837841897,0.38141165908309116,67,1.188,1.118,0.3874,-0.3206
