panel,signal,mode,rank_ic,turnover,n,sharpe_net0,ann_net0,dd_net0,sharpe_net60,ann_net60,dd_net60,sharpe_net100,ann_net100,dd_net100,sharpe_net150,ann_net150,dd_net150
CH,blend,long_only,0.07390538406448713,0.2539884460932149,42,2.058,0.7423,-0.2247,1.989,0.7105,-0.2379,1.943,0.6897,-0.2465,1.885,0.6639,-0.2572
CH,blend,long_short,0.07390538406448713,0.3009600061350323,42,2.371,0.6011,-0.102,2.147,0.5323,-0.1063,1.997,0.488,-0.11,1.81,0.4342,-0.1334
CH,score,long_only,0.06328904719948397,0.31065554530332035,42,1.82,0.6562,-0.2569,1.733,0.6192,-0.2674,1.675,0.5949,-0.2743,1.602,0.5651,-0.2828
CH,score,long_short,0.06328904719948397,0.35810816741648727,42,1.922,0.5143,-0.1708,1.672,0.4369,-0.1765,1.505,0.3873,-0.1816,1.296,0.3275,-0.1884
CH,mom,long_only,0.07057176266072426,0.30946499319298293,42,1.797,0.6252,-0.2932,1.708,0.589,-0.3066,1.648,0.5653,-0.3153,1.574,0.5361,-0.3262
CH,mom,long_short,0.07057176266072426,0.3395855435911032,42,1.792,0.5045,-0.122,1.57,0.4314,-0.1426,1.421,0.3845,-0.1738,1.236,0.3278,-0.2209
CH,mom20,long_only,0.05784706522460418,0.7770826687411284,42,1.365,0.3808,-0.3119,1.12,0.3038,-0.3461,0.956,0.2547,-0.3681,0.751,0.1957,-0.3946
CH,mom20,long_short,0.05784706522460418,0.7918034758933494,42,0.819,0.1953,-0.2258,0.274,0.0616,-0.3068,-0.091,-0.0197,-0.385,-0.547,-0.1133,-0.5109
CH,mom60,long_only,0.048095805182862626,0.4801532190533851,42,1.604,0.4903,-0.2439,1.46,0.4387,-0.2642,1.365,0.4052,-0.2775,1.245,0.3644,-0.2937
CH,mom60,long_short,0.048095805182862626,0.5101273238502662,42,0.935,0.2354,-0.3137,0.595,0.1449,-0.3742,0.369,0.088,-0.4185,0.088,0.0205,-0.4742
CH,equal_weight_universe,long_only,,,42,1.37,0.2627,-0.2134,1.37,0.2627,-0.2134,1.37,0.2627,-0.2134,1.37,0.2627,-0.2134
CH,0050_buy_hold_blocks,long_only,,,43,0.392,0.2096,-0.7507,0.392,0.2096,-0.7507,0.392,0.2096,-0.7507,0.392,0.2096,-0.7507
BR,blend,long_only,0.03570752367548482,0.2563507953210164,67,1.53,0.473,-0.2504,1.455,0.4455,-0.2604,1.405,0.4275,-0.267,1.343,0.4052,-0.277
BR,blend,long_short,0.03570752367548482,0.29771809129646143,67,1.653,0.4091,-0.1276,1.443,0.3486,-0.1803,1.302,0.3096,-0.2139,1.125,0.2623,-0.254
BR,score,long_only,0.028925777624930236,0.2943217620198987,67,1.277,0.3934,-0.2914,1.193,0.3635,-0.3029,1.136,0.3439,-0.3104,1.066,0.3198,-0.3197
BR,score,long_short,0.028925777624930236,0.3381925227417581,67,1.21,0.2794,-0.1835,0.963,0.2167,-0.204,0.797,0.1765,-0.2251,0.589,0.1279,-0.2508
BR,mom,long_only,0.03575475929540143,0.2991600343878629,67,1.451,0.4496,-0.3095,1.361,0.4181,-0.3293,1.301,0.3974,-0.3421,1.227,0.372,-0.3579
BR,mom,long_short,0.03575475929540143,0.33699635198907374,67,1.222,0.3073,-0.306,0.989,0.2436,-0.3568,0.835,0.2027,-0.3887,0.643,0.1533,-0.4264
BR,mom20,long_only,0.010223222868713987,0.7442445507397335,67,1.196,0.3174,-0.3994,0.953,0.2467,-0.4328,0.792,0.2015,-0.4624,0.591,0.1472,-0.4973
BR,mom20,long_short,0.010223222868713987,0.7794679226759095,67,0.624,0.1222,-0.4539,-0.011,-0.0021,-0.554,-0.434,-0.0777,-0.6188,-0.962,-0.1648,-0.7352
BR,mom60,long_only,0.017959625344267222,0.4492900785322261,67,1.398,0.4365,-0.2865,1.267,0.3898,-0.3188,1.18,0.3595,-0.3395,1.071,0.3224,-0.3647
BR,mom60,long_short,0.017959625344267222,0.4864897393615736,67,0.948,0.2413,-0.2688,0.626,0.1545,-0.3472,0.413,0.0997,-0.395,0.147,0.0347,-0.5054
BR,equal_weight_universe,long_only,,,67,1.038,0.1852,-0.2023,1.038,0.1852,-0.2023,1.038,0.1852,-0.2023,1.038,0.1852,-0.2023
BR,0050_buy_hold_blocks,long_only,,,68,0.286,0.12,-0.7558,0.286,0.12,-0.7558,0.286,0.12,-0.7558,0.286,0.12,-0.7558
