panel,bucket,mean_fwd_1,n_dates_1,mean_fwd_5,n_dates_5,mean_fwd_10,n_dates_10,mean_fwd_20,n_dates_20,mean_fwd_30,n_dates_30,mean_fwd_40,n_dates_40
CH,top5,0.0025106114827436483,856,0.012391718028629773,856,0.02548582166211019,856,0.05619312326484529,856,0.08502061142224356,856,0.11394734401967298,851
CH,5-10,0.002330307469794057,856,0.01170505988585179,856,0.024471888537873885,856,0.04451170846624034,856,0.0680500549263236,856,0.09416337449037741,851
CH,10-20,0.0017736183913434594,856,0.008076708677346363,856,0.016655780082831514,856,0.03409037546610794,856,0.05382529409767016,856,0.07369696892617332,851
CH,20-30,0.0008087608518619453,856,0.0038039028541328817,856,0.007674810742395269,856,0.0164346070153163,856,0.02608979658070396,856,0.03742768355370067,851
CH,30-50,0.0005849067408707324,856,0.003056546760317098,856,0.0063696214668942696,856,0.012973606372255597,856,0.01965302610535585,856,0.027172890675499536,851
CH,bot50,0.00046792410483008595,856,0.002062366207030368,856,0.003972925236672685,856,0.007683397402500322,856,0.011712131101679514,856,0.015093159868565735,851
CH,top20_minus_bot20,0.0017208262596874167,856,0.008557610302947853,856,0.018056820095517984,856,0.03669814795614316,856,0.05693628932008279,856,0.07866921383652692,851
BR,top5,0.002007009832389739,1346,0.010719972844837807,1346,0.02290132058513328,1346,0.051937112416087255,1346,0.08049389187439285,1346,0.11098768286109896,1341
BR,5-10,0.001849673873872721,1346,0.00825181190991811,1346,0.017680099124156794,1346,0.03101948475634836,1346,0.04863832772531195,1346,0.0663158531192433,1341
BR,10-20,0.0010437835550396709,1346,0.005085075955380631,1346,0.010350640275428244,1346,0.02291329446859878,1346,0.03771270638526105,1346,0.05243261184896511,1341
BR,20-30,0.0005419875769586295,1346,0.002874314800721842,1346,0.0061226896769510965,1346,0.013222593848963576,1346,0.02028354200248892,1346,0.02915813654183355,1341
BR,30-50,0.0005447489143958981,1346,0.0024085529591294456,1346,0.005142976150365452,1346,0.011206199527240474,1346,0.017021553595256558,1346,0.02282197363426764,1341
BR,bot50,0.0004010013690197515,1346,0.00197688555486838,1346,0.0037726756426277115,1346,0.007483208740814583,1346,0.011000763448471739,1346,0.013806722861068408,1341
BR,top20_minus_bot20,0.001087282085935974,1346,0.00549454725649604,1346,0.012010520227100113,1346,0.025616014255591287,1346,0.041342488515969035,1346,0.05869976565547375,1341
