panel,top_frac,band,mode,turnover,sharpe_net60,dd_net60,sharpe_net100,n
CH,0.1,0.0,long_only,0.3026162131439909,2.018,-0.3297,1.975,42
CH,0.1,0.0,long_short,0.34804421761267,2.037,-0.2035,1.923,42
CH,0.1,0.1,long_only,0.27144179894338627,1.947,-0.3572,1.909,42
CH,0.1,0.1,long_short,0.33245701051236776,1.992,-0.2154,1.886,42
CH,0.1,0.15,long_only,0.25896825394702383,1.863,-0.3548,1.826,42
CH,0.1,0.15,long_short,0.3262202380141865,1.882,-0.216,1.775,42
CH,0.1,0.2,long_only,0.25339002265113375,1.739,-0.3503,1.703,42
CH,0.1,0.2,long_short,0.32343112236624144,1.697,-0.2304,1.592,42
CH,0.15,0.0,long_only,0.3077357325767605,1.65,-0.3506,1.602,42
CH,0.15,0.0,long_short,0.34324711770187016,1.625,-0.242,1.5,42
CH,0.15,0.1,long_only,0.2794529472787656,1.782,-0.321,1.735,42
CH,0.15,0.1,long_short,0.32910572505287267,1.74,-0.2055,1.615,42
CH,0.15,0.15,long_only,0.2755149277847974,1.825,-0.3353,1.78,42
CH,0.15,0.15,long_short,0.32713671530588856,1.769,-0.2218,1.648,42
CH,0.15,0.2,long_only,0.25410244467690685,1.875,-0.3261,1.831,42
CH,0.15,0.2,long_short,0.3164304737519433,1.864,-0.2105,1.738,42
CH,0.2,0.0,long_only,0.30028278152596644,1.901,-0.2672,1.845,42
CH,0.2,0.0,long_short,0.3241071738514081,1.988,-0.1204,1.831,42
CH,0.2,0.1,long_only,0.2539884460932149,1.989,-0.2379,1.943,42
CH,0.2,0.1,long_short,0.3009600061350323,2.147,-0.1063,1.997,42
CH,0.2,0.15,long_only,0.24081696843662498,1.968,-0.2511,1.923,42
CH,0.2,0.15,long_short,0.2943742673067373,2.208,-0.1121,2.052,42
CH,0.2,0.2,long_only,0.23214135420230897,1.974,-0.2413,1.929,42
CH,0.2,0.2,long_short,0.2900364601895793,2.236,-0.1027,2.074,42
CH,0.25,0.0,long_only,0.2820026815600377,1.89,-0.2527,1.837,42
CH,0.25,0.0,long_short,0.2941290200916052,2.045,-0.1107,1.888,42
CH,0.25,0.1,long_only,0.2580829045273876,1.863,-0.2572,1.814,42
CH,0.25,0.1,long_short,0.2821691315752802,2.003,-0.1112,1.853,42
CH,0.25,0.15,long_only,0.2512993280269188,1.794,-0.2689,1.747,42
CH,0.25,0.15,long_short,0.2787773433250458,1.905,-0.1137,1.759,42
CH,0.25,0.2,long_only,0.23735306658171348,1.679,-0.2723,1.632,42
CH,0.25,0.2,long_short,0.27180421260244314,1.779,-0.1073,1.624,42
CH,0.3,0.0,long_only,0.2786244230680734,1.796,-0.2571,1.739,42
CH,0.3,0.0,long_short,0.27283641677826126,1.807,-0.1486,1.652,42
CH,0.3,0.1,long_only,0.24795832376319968,1.782,-0.2513,1.73,42
CH,0.3,0.1,long_short,0.25750336712582433,1.764,-0.1179,1.611,42
CH,0.3,0.15,long_only,0.23234651415286176,1.83,-0.2347,1.779,42
CH,0.3,0.15,long_short,0.2496974623206554,1.82,-0.1141,1.661,42
CH,0.3,0.2,long_only,0.21250716390422622,1.663,-0.2482,1.616,42
CH,0.3,0.2,long_short,0.23977778719633763,1.611,-0.1103,1.452,42
BR,0.1,0.0,long_only,0.29989710530966757,1.314,-0.3592,1.274,67
BR,0.1,0.0,long_short,0.3452289687387325,1.277,-0.261,1.177,67
BR,0.1,0.1,long_only,0.27266998335530684,1.303,-0.3542,1.265,67
BR,0.1,0.1,long_short,0.331615407761552,1.246,-0.2599,1.148,67
BR,0.1,0.15,long_only,0.2627725010815808,1.349,-0.3569,1.312,67
BR,0.1,0.15,long_short,0.326666666624689,1.294,-0.2629,1.199,67
BR,0.1,0.2,long_only,0.2558943916419042,1.456,-0.3148,1.419,67
BR,0.1,0.2,long_short,0.3232276119048507,1.413,-0.238,1.315,67
BR,0.15,0.0,long_only,0.31594505763197583,1.404,-0.2956,1.353,67
BR,0.15,0.0,long_short,0.35468707539605376,1.358,-0.2289,1.23,67
BR,0.15,0.1,long_only,0.2853431162473614,1.322,-0.3249,1.274,67
BR,0.15,0.1,long_short,0.3393861047037464,1.253,-0.2902,1.124,67
BR,0.15,0.15,long_only,0.2775334361948173,1.335,-0.3417,1.288,67
BR,0.15,0.15,long_short,0.33548126467747447,1.263,-0.3079,1.136,67
BR,0.15,0.2,long_only,0.25141442825801447,1.349,-0.3182,1.304,67
BR,0.15,0.2,long_short,0.32242176070907297,1.307,-0.208,1.173,67
BR,0.2,0.0,long_only,0.2882932322423342,1.357,-0.3115,1.303,67
BR,0.2,0.0,long_short,0.31368930975712034,1.327,-0.2478,1.187,67
BR,0.2,0.1,long_only,0.2563507953210164,1.455,-0.2604,1.405,67
BR,0.2,0.1,long_short,0.29771809129646143,1.443,-0.1803,1.302,67
BR,0.2,0.15,long_only,0.24717890703952272,1.432,-0.2574,1.383,67
BR,0.2,0.15,long_short,0.2931321471557146,1.445,-0.1513,1.297,67
BR,0.2,0.2,long_only,0.24170607130613453,1.422,-0.2605,1.374,67
BR,0.2,0.2,long_short,0.2903957292890205,1.437,-0.1562,1.292,67
BR,0.25,0.0,long_only,0.28655459350836077,1.396,-0.2677,1.338,67
BR,0.25,0.0,long_short,0.2987635499508107,1.26,-0.2315,1.108,67
BR,0.25,0.1,long_only,0.2618706072272228,1.387,-0.2584,1.332,67
BR,0.25,0.1,long_short,0.28642155681024173,1.248,-0.2076,1.095,67
BR,0.25,0.15,long_only,0.2538564057779105,1.412,-0.2687,1.359,67
BR,0.25,0.15,long_short,0.28241445608558563,1.259,-0.2264,1.11,67
BR,0.25,0.2,long_only,0.24128309256678745,1.378,-0.2756,1.327,67
BR,0.25,0.2,long_short,0.2761277994800241,1.223,-0.2308,1.076,67
BR,0.3,0.0,long_only,0.2802472211174822,1.258,-0.285,1.198,67
BR,0.3,0.0,long_short,0.27410020003329716,1.093,-0.2456,0.933,67
BR,0.3,0.1,long_only,0.24103424905976356,1.319,-0.2554,1.265,67
BR,0.3,0.1,long_short,0.2544937140044379,1.161,-0.209,1.006,67
BR,0.3,0.15,long_only,0.23181988626327088,1.308,-0.2527,1.256,67
BR,0.3,0.15,long_short,0.24988653260619154,1.154,-0.2091,1.003,67
BR,0.3,0.2,long_only,0.2181286082287987,1.233,-0.2561,1.183,67
BR,0.3,0.2,long_short,0.2430408935889554,1.071,-0.2133,0.917,67
