panel,by,period,mean,std,ir,pos_frac,n_dates
CH,year,2023,0.06647661552884963,0.17895784570782364,0.3714652200126671,0.6778242677824268,239
CH,year,2024,0.0700950083510863,0.17390811533809505,0.40305771938712853,0.6776859504132231,242
CH,year,2025,0.047480644830304,0.19520242552015207,0.24323798592042725,0.6172839506172839,243
CH,year,2026,0.09603210285182959,0.2627027718101445,0.3655542048152886,0.6818181818181818,132
CH,quarter,2023Q1,0.1224109066461166,0.13043627723114026,0.9384728638735813,0.8333333333333334,54
CH,quarter,2023Q2,0.12657725213658857,0.14909380489897267,0.8489772745578429,0.7796610169491526,59
CH,quarter,2023Q3,-0.06243647996654486,0.1918198330413051,-0.32549543483910887,0.3492063492063492,63
CH,quarter,2023Q4,0.09116130975140262,0.1647317162990322,0.5533925815835028,0.7777777777777778,63
CH,quarter,2024Q1,0.12352827222080351,0.23984171585395514,0.515040812566662,0.625,56
CH,quarter,2024Q2,-0.0038047525195234284,0.14544232627352432,-0.026159871180608505,0.5737704918032787,61
CH,quarter,2024Q3,0.022014452509469016,0.1468348575444576,0.14992661059928253,0.6190476190476191,63
CH,quarter,2024Q4,0.14339658342245593,0.09471617285881818,1.513960911788525,0.8870967741935484,62
CH,quarter,2025Q1,-0.19337984614599976,0.13893557392444364,-1.3918670408427158,0.09090909090909091,55
CH,quarter,2025Q2,0.06842166394188595,0.12590706715040792,0.5434298923042167,0.7540983606557377,61
CH,quarter,2025Q3,0.04682605915411135,0.11635182461116389,0.40245229768075697,0.6,65
CH,quarter,2025Q4,0.24123020784389634,0.11567900559447644,2.085341299436402,0.967741935483871,62
CH,quarter,2026Q1,0.2304540550980432,0.1704108409725229,1.3523438637052538,0.8545454545454545,55
CH,quarter,2026Q2,0.0183524367268036,0.27630963461839214,0.06641982192242382,0.6229508196721312,61
CH,quarter,2026Q3,-0.06988963089286826,0.26948408525945977,-0.2593460419956837,0.3125,16
BR,year,2021,-0.0002428709437040955,0.21348232111933327,-0.0011376630272271326,0.4672131147540984,244
BR,year,2022,-0.05695614492164826,0.18721211878627383,-0.30423321572825557,0.4268292682926829,246
BR,year,2023,0.06843609078537218,0.18069643251866546,0.3787351517208449,0.7112970711297071,239
BR,year,2024,0.06781971404404465,0.17749511787936373,0.38209340546560255,0.6694214876033058,242
BR,year,2025,0.0446339336339176,0.19278015952512828,0.2315276309754257,0.6419753086419753,243
BR,year,2026,0.0972505647839602,0.26553042182401043,0.36625017998282855,0.6893939393939394,132
BR,quarter,2021Q1,0.2046057533287758,0.18597087967485013,1.1002031806619765,0.7818181818181819,55
BR,quarter,2021Q2,0.03342590964324012,0.1879971297108702,0.17780010628166198,0.639344262295082,61
BR,quarter,2021Q3,-0.16685549373533826,0.1699561693262439,-0.98175602802065,0.140625,64
BR,quarter,2021Q4,-0.04176259113316354,0.12615507698506265,-0.33104169987632304,0.359375,64
BR,quarter,2022Q1,-0.034237190580030344,0.12427915610394813,-0.2754861849190066,0.5178571428571429,56
BR,quarter,2022Q2,-0.1263085752766634,0.15847095280384135,-0.7970455975803388,0.32786885245901637,61
BR,quarter,2022Q3,0.022929466517966814,0.21579660792006702,0.10625499046982283,0.49230769230769234,65
BR,quarter,2022Q4,-0.09186751890679916,0.19660209608979656,-0.46727639599955917,0.375,64
BR,quarter,2023Q1,0.138453050599343,0.13501029602547981,1.025499940932012,0.8888888888888888,54
BR,quarter,2023Q2,0.12032257084696749,0.14093642908656895,0.8537364798214123,0.8135593220338984,59
BR,quarter,2023Q3,-0.066184483007231,0.20120530045738216,-0.32894005703020585,0.3968253968253968,63
BR,quarter,2023Q4,0.09445002721942695,0.15734394772009141,0.6002774723019519,0.7777777777777778,63
BR,quarter,2024Q1,0.11250011376821349,0.24742965737207234,0.4546751386356303,0.5892857142857143,56
BR,quarter,2024Q2,-0.001356119150021922,0.1476448493301432,-0.009185008188057776,0.5737704918032787,61
BR,quarter,2024Q3,0.01866267816301745,0.1541921336801667,0.12103521572461368,0.6031746031746031,63
BR,quarter,2024Q4,0.145473209218066,0.09175967624767126,1.5853718666728396,0.9032258064516129,62
BR,quarter,2025Q1,-0.17787737276148421,0.15437557475925254,-1.1522378008236247,0.2545454545454545,55
BR,quarter,2025Q2,0.05883728686575315,0.12177560487627845,0.4831615242275384,0.7704918032786885,61
BR,quarter,2025Q3,0.03464017565544042,0.12146341352826072,0.28519020377589455,0.5230769230769231,65
BR,quarter,2025Q4,0.2385260557824039,0.11452589232448875,2.0827260189039416,0.9838709677419355,62
BR,quarter,2026Q1,0.2339282188019825,0.1672648557790611,1.398549729483978,0.8727272727272727,55
BR,quarter,2026Q2,0.01934886204462388,0.28332985233129193,0.06829094034891756,0.6229508196721312,61
BR,quarter,2026Q3,-0.0755786292092717,0.26248212195810494,-0.2879381980207204,0.3125,16
