panel,regime_type,regime,n_dates,ic_mean,ic_pos_frac,top_q_fwd20,uni_fwd20,top_q_excess
CH,trend,BEAR,248,0.034086343840247856,0.6451612903225806,0.01459982879677136,0.00886737004437694,0.0057324587523944195
CH,trend,BULL,608,0.07995316468779909,0.6677631578947368,0.05286708070675357,0.019325628881675095,0.03354145182507847
CH,vol_regime,HIGH_VOL,245,0.057444079645782,0.673469387755102,0.05639243258530601,0.030002604609300654,0.02638982797600537
CH,vol_regime,LOW_VOL,196,0.10552818060399574,0.6785714285714286,0.050500533178799704,0.0140744255256281,0.03642610765317159
CH,vol_regime,MID_VOL,415,0.05375328793003267,0.6457831325301204,0.029035402710507835,0.009252685780149813,0.01978271693035801
CH,breadth_regime,BROAD,270,0.040164918558670056,0.6259259259259259,0.02561876420197441,0.009633352953382083,0.01598541124859233
CH,breadth_regime,MID_BREADTH,364,0.11113450656660256,0.7335164835164835,0.060099613409477975,0.018516476275407152,0.04158313713407081
CH,breadth_regime,NARROW,222,0.025979500006662475,0.5855855855855856,0.03139917565640719,0.020757150763074654,0.010642024893332524
CH,shock,NORMAL,843,0.06586398484497917,0.6583629893238434,0.04142351580934022,0.0158315649182663,0.025591950891073918
CH,shock,SHOCK_5D,13,0.11858447524968303,0.8461538461538461,0.06491682954089696,0.04639083884349615,0.018525990697400838
BR,trend,BEAR,444,-0.006336433677860483,0.5675675675675675,0.00828140132018171,0.005719209085663331,0.00256219223451838
BR,trend,BULL,902,0.05010490167723755,0.6053215077605322,0.043325939896070434,0.0174396592723081,0.025886280623762338
BR,vol_regime,HIGH_VOL,510,0.005702692855062181,0.5705882352941176,0.039132583604411374,0.022368888299381925,0.016763695305029448
BR,vol_regime,LOW_VOL,280,0.05465090909996342,0.5642857142857143,0.03559578958878261,0.011230160643229837,0.024365628945552775
BR,vol_regime,MID_VOL,556,0.04347233247450854,0.6276978417266187,0.02308003821817857,0.006685833605876417,0.01639420461230215
BR,breadth_regime,BROAD,439,0.030395736483293617,0.5694760820045558,0.026511588427796412,0.012909410722732016,0.013602177705064392
BR,breadth_regime,MID_BREADTH,488,0.08507434483011046,0.680327868852459,0.04742879015312947,0.014022007637583121,0.03340678251554636
BR,breadth_regime,NARROW,419,-0.029782252585588503,0.5155131264916468,0.01902888557968115,0.013746850747581155,0.005282034832100001
BR,shock,NORMAL,1321,0.030545423095980264,0.5912187736563209,0.030883283144469628,0.012961358008693134,0.017921925135776486
BR,shock,SHOCK_5D,25,0.08122963400433153,0.68,0.07840491754287346,0.04591790272691163,0.03248701481596183
