sector,mean_share,panel
auto,0.019136626613262125,CH
biotech,0.014686248331108142,CH
construction,0.023086337338673785,CH
consumer,0.03388406764574989,CH
electronics,0.34954939919893185,CH
financials,0.048406208277703595,CH
industrial,0.09564419225634178,CH
materials,0.04679016466399643,CH
optics,0.007176234979973297,CH
panels,0.004784156653315531,CH
retail,0.009012016021361815,CH
semis,0.24981085892300844,CH
shipping,0.07054127725856699,CH
transport,0.02749221183800623,CH
auto,0.024534776763602915,BR
biotech,0.016551687539800467,BR
construction,0.02276232930021934,BR
consumer,0.03953866836481992,BR
electronics,0.27768343593009265,BR
financials,0.07540508030849782,BR
industrial,0.09425104365669,BR
materials,0.05218814122974597,BR
optics,0.007213613528620958,BR
panels,0.010378192881907592,BR
retail,0.00997665039269794,BR
semis,0.2285749663907167,BR
shipping,0.09205582678836764,BR
telecom,0.005520766999221681,BR
transport,0.04336481992499823,BR
