panel,signal,holding,mode,n,turnover,sharpe60,sharpe100,ann60,dd60
CH,blend,20,long_only,42,0.254,1.989,1.943,0.711,-0.238
CH,blend,20,long_short,42,0.301,2.147,1.997,0.532,-0.106
CH,blend_sn,20,long_only,42,0.252,1.795,1.744,0.567,-0.275
CH,blend_sn,20,long_short,42,0.291,0.893,0.754,0.202,-0.258
CH,blend,40,long_only,22,0.38,1.626,1.591,0.569,-0.209
CH,blend,40,long_short,22,0.43,1.44,1.356,0.434,-0.118
CH,blend_sn,40,long_only,22,0.38,1.542,1.505,0.497,-0.206
CH,blend_sn,40,long_short,22,0.41,0.923,0.822,0.208,-0.159
CH,blend,60,long_only,14,0.491,1.288,1.267,0.655,-0.282
CH,blend,60,long_short,14,0.516,1.41,1.354,0.532,-0.1
CH,blend_sn,60,long_only,14,0.476,1.382,1.36,0.6,-0.286
CH,blend_sn,60,long_short,14,0.502,0.601,0.545,0.191,-0.223
BR,blend,20,long_only,67,0.256,1.455,1.405,0.446,-0.26
BR,blend,20,long_short,67,0.298,1.443,1.302,0.349,-0.18
BR,blend_sn,20,long_only,67,0.244,1.291,1.24,0.368,-0.282
BR,blend_sn,20,long_short,67,0.285,0.481,0.328,0.095,-0.351
BR,blend,40,long_only,34,0.391,1.212,1.181,0.478,-0.267
BR,blend,40,long_short,34,0.43,1.209,1.131,0.392,-0.179
BR,blend_sn,40,long_only,34,0.369,1.101,1.067,0.347,-0.261
BR,blend_sn,40,long_short,34,0.405,0.386,0.272,0.072,-0.349
BR,blend,60,long_only,23,0.494,1.139,1.117,0.543,-0.24
BR,blend,60,long_short,23,0.531,1.011,0.959,0.407,-0.21
BR,blend_sn,60,long_only,23,0.482,1.028,1.005,0.384,-0.24
BR,blend_sn,60,long_short,23,0.506,0.452,0.394,0.139,-0.312
