symbol,model_score,rank,action,target_weight,previous_weight,weight_change,sector,confidence,intended_execution_date,holding_horizon_days,caveats
2337,2.6737,1,BUY,0.02778,0.0,0.02778,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2303,2.5967,2,HOLD,0.02778,0.025,0.00278,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3037,2.562,3,HOLD,0.03125,0.025,0.00625,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2454,2.417,4,HOLD,0.02778,0.025,0.00278,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2408,2.2693,5,HOLD,0.02778,0.025,0.00278,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2344,2.2208,6,HOLD,0.02778,0.025,0.00278,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3711,2.0594,7,HOLD,0.02778,0.025,0.00278,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2360,2.0331,8,HOLD,0.03125,0.025,0.00625,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3443,1.9695,9,HOLD,0.02778,0.025,0.00278,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1303,1.8567,10,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2351,1.8441,12,HOLD,0.02778,0.025,0.00278,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2409,1.6899,13,HOLD,0.1,0.1,0.0,panels,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6446,1.4529,14,HOLD,0.1,0.1,0.0,biotech,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2345,1.3246,15,HOLD,0.03125,0.025,0.00625,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2368,1.2897,16,HOLD,0.03125,0.025,0.00625,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6770,1.2309,17,HOLD,0.02778,0.025,0.00278,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2308,1.215,18,HOLD,0.03125,0.025,0.00625,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3008,1.0817,19,HOLD,0.1,0.1,0.0,optics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1802,1.0709,20,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2451,0.5306,21,HOLD,0.03125,0.025,0.00625,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2312,0.4466,22,HOLD,0.03125,0.025,0.00625,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2356,0.3114,24,HOLD,0.03125,0.025,0.00625,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1590,0.1725,28,SELL,0.0,0.1,-0.1,industrial,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2313,1.849,11,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1326,0.3578,23,WATCH,0.0,0.0,0.0,materials,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3661,0.298,25,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2330,0.2687,26,WATCH,0.0,0.0,0.0,semis,medium,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2401,0.2196,27,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2887,0.1599,29,WATCH,0.0,0.0,0.0,financials,high,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2379,0.137,30,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2449,0.1357,31,WATCH,0.0,0.0,0.0,semis,high,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2891,0.0378,32,WATCH,0.0,0.0,0.0,financials,high,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
