symbol,model_score,rank,action,target_weight,previous_weight,weight_change,sector,confidence,intended_execution_date,holding_horizon_days,caveats
2313,1.8447,9,BUY,0.03125,0.0,0.03125,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2337,4.1956,1,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1303,3.5516,2,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3037,2.7894,3,HOLD,0.03125,0.03125,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2408,2.7288,4,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3711,2.2932,5,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2344,2.1296,6,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6446,2.1075,7,HOLD,0.1,0.1,0.0,biotech,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2303,1.982,8,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3443,1.7278,10,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2409,1.4353,11,HOLD,0.1,0.1,0.0,panels,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2351,1.2975,12,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2360,1.2808,13,HOLD,0.03125,0.03125,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2454,0.9151,14,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2345,0.7123,15,HOLD,0.03125,0.03125,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6770,0.6021,16,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2308,0.5623,18,HOLD,0.03125,0.03125,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3008,0.5266,19,HOLD,0.1,0.1,0.0,optics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1802,0.3911,20,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2368,0.3208,22,HOLD,0.03125,0.03125,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2312,0.1344,24,HOLD,0.03125,0.03125,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2356,0.0719,26,HOLD,0.03125,0.03125,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2451,-0.052,32,SELL,0.0,0.03125,-0.03125,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1326,0.5996,17,WATCH,0.0,0.0,0.0,materials,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2883,0.3227,21,WATCH,0.0,0.0,0.0,financials,medium,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2887,0.2385,23,WATCH,0.0,0.0,0.0,financials,medium,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2401,0.1048,25,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2377,0.0717,27,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2379,0.0665,28,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1301,0.0483,29,WATCH,0.0,0.0,0.0,materials,medium,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2330,0.0357,30,WATCH,0.0,0.0,0.0,semis,medium,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2458,-0.0516,31,WATCH,0.0,0.0,0.0,semis,medium,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
