symbol,model_score,rank,action,target_weight,previous_weight,weight_change,sector,confidence,intended_execution_date,holding_horizon_days,caveats
2337,3.8532,1,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1303,3.837,2,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3037,3.0166,3,HOLD,0.03571,0.03125,0.00446,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2408,2.4537,4,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3711,2.2709,5,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2303,2.0187,6,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6446,2.0042,7,HOLD,0.1,0.1,0.0,biotech,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2344,1.8895,8,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3443,1.7884,9,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2313,1.788,10,HOLD,0.03571,0.03125,0.00446,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2360,1.3912,11,HOLD,0.03571,0.03125,0.00446,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2409,1.3828,12,HOLD,0.1,0.1,0.0,panels,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2351,1.2677,13,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2454,0.8704,14,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2345,0.7868,15,HOLD,0.03571,0.03125,0.00446,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3008,0.569,17,HOLD,0.1,0.1,0.0,optics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2308,0.5614,18,HOLD,0.03571,0.03125,0.00446,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6770,0.5512,19,HOLD,0.02778,0.02778,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1802,0.3835,20,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2368,0.3793,22,HOLD,0.03571,0.03125,0.00446,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2312,0.1149,24,HOLD,0.03571,0.03125,0.00446,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2356,0.0339,29,SELL,0.0,0.03125,-0.03125,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1326,0.6932,16,WATCH,0.0,0.0,0.0,materials,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2883,0.3821,21,WATCH,0.0,0.0,0.0,financials,medium,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2887,0.2825,23,WATCH,0.0,0.0,0.0,financials,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1301,0.1031,25,WATCH,0.0,0.0,0.0,materials,medium,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2377,0.0729,26,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2401,0.0636,27,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2330,0.0446,28,WATCH,0.0,0.0,0.0,semis,medium,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2379,0.0241,30,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2458,-0.0391,31,WATCH,0.0,0.0,0.0,semis,medium,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1590,-0.0828,32,WATCH,0.0,0.0,0.0,industrial,medium,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
