asof,strategy,n_names,max_w,turnover,ret_1d,hit_1d,ret_5d,hit_5d,ret_10d,hit_10d,ret_20d,hit_20d
2025-02-07,blend50,22,0.0571,,0.00813,0.682,0.03974,0.864,0.03302,0.636,-0.02264,0.318
2025-02-07,blend50_band10,22,0.0571,,0.00813,0.682,0.03974,0.864,0.03302,0.636,-0.02264,0.318
2025-02-07,d12,22,0.0533,,0.00527,0.5,0.03256,0.864,0.02489,0.636,-0.01956,0.364
2025-02-07,tf,22,0.06,,0.00983,0.727,0.03023,0.864,0.02241,0.682,-0.02756,0.333
2025-03-10,blend50,21,0.0545,0.3344,-0.00715,0.524,0.00622,0.571,-0.0144,0.333,-0.18407,0.0
2025-03-10,blend50_band10,21,0.0545,0.2013,-0.00516,0.571,0.00884,0.571,-0.01026,0.429,-0.17906,0.0
2025-03-10,d12,21,0.0476,0.3619,-0.00753,0.524,0.00791,0.571,-0.01072,0.333,-0.17954,0.0
2025-03-10,tf,21,0.0667,0.3286,-0.00693,0.476,0.00337,0.476,-0.01278,0.429,-0.17659,0.0
2025-04-09,blend50,21,0.0476,0.281,0.0337,0.619,0.0457,0.714,0.04254,0.667,0.11523,0.952
2025-04-09,blend50_band10,21,0.05,0.2333,0.03028,0.619,0.044,0.714,0.04198,0.667,0.10852,0.952
2025-04-09,d12,21,0.0476,0.2381,0.02311,0.524,0.0345,0.714,0.03063,0.571,0.09086,0.952
2025-04-09,tf,21,0.0667,0.2419,0.02628,0.667,0.04121,0.762,0.04447,0.762,0.10058,0.952
2025-05-08,blend50,21,0.05,0.261,0.01215,0.667,0.06185,0.667,0.07875,0.81,0.03983,0.619
2025-05-08,blend50_band10,21,0.05,0.18,0.01154,0.667,0.05853,0.714,0.07024,0.81,0.04037,0.619
2025-05-08,d12,21,0.0476,0.3333,0.00799,0.476,0.03609,0.524,0.04108,0.667,0.01584,0.429
2025-05-08,tf,21,0.08,0.1352,0.02064,0.857,0.07521,0.81,0.07942,0.81,0.05167,0.714
2025-06-06,blend50,22,0.05,0.1833,0.01149,0.682,0.00596,0.636,-0.02476,0.364,-0.00132,0.591
2025-06-06,blend50_band10,22,0.05,0.24,0.01366,0.727,0.00435,0.591,-0.02682,0.318,-0.00774,0.545
2025-06-06,d12,22,0.0455,0.3636,0.01218,0.727,0.00822,0.727,-0.01559,0.455,0.01142,0.636
2025-06-06,tf,22,0.0545,0.3175,0.01395,0.773,0.01059,0.636,-0.01245,0.409,-0.0014,0.545
2025-07-04,blend50,22,0.06,0.425,-0.00516,0.364,-0.00479,0.455,0.00456,0.636,0.0225,0.619
2025-07-04,blend50_band10,22,0.0545,0.3571,-0.00452,0.364,-0.00359,0.455,0.00491,0.636,0.02283,0.571
2025-07-04,d12,22,0.05,0.4333,-0.00496,0.364,-0.01334,0.318,-0.01295,0.5,0.00634,0.571
2025-07-04,tf,22,0.1,0.3768,-0.00433,0.409,-0.0109,0.5,0.00391,0.682,0.03691,0.714
2025-08-01,blend50,21,0.0615,0.245,0.00749,0.762,0.02096,0.762,0.06363,0.667,0.02236,0.476
2025-08-01,blend50_band10,21,0.0615,0.1841,0.00749,0.762,0.02096,0.762,0.06363,0.667,0.02236,0.476
2025-08-01,d12,21,0.0571,0.5,0.00729,0.667,0.02838,0.81,0.0776,0.667,0.02941,0.476
2025-08-01,tf,21,0.0615,0.4294,0.00675,0.762,0.02333,0.81,0.06233,0.667,0.02592,0.524
2025-08-29,blend50,21,0.0667,0.3173,-0.01818,0.35,0.00735,0.7,0.01903,0.55,0.02574,0.55
2025-08-29,blend50_band10,21,0.0667,0.2291,-0.01945,0.35,0.00875,0.7,0.01875,0.55,0.03275,0.55
2025-08-29,d12,21,0.0667,0.5524,-0.0152,0.45,0.00991,0.7,0.02705,0.65,0.03963,0.55
2025-08-29,tf,21,0.0667,0.2327,-0.01837,0.35,0.00778,0.75,0.01853,0.6,0.03148,0.6
2025-09-26,blend50,21,0.0857,0.3976,0.00709,0.5,0.05105,0.7,0.05576,0.7,0.07619,0.8
2025-09-26,blend50_band10,21,0.075,0.3244,0.00417,0.45,0.04693,0.7,0.05181,0.65,0.07217,0.75
2025-09-26,d12,21,0.1,0.419,0.00875,0.55,0.05585,0.75,0.05171,0.65,0.04942,0.8
2025-09-26,tf,21,0.08,0.4083,0.00266,0.45,0.04217,0.65,0.05055,0.65,0.07391,0.75
2025-10-30,blend50,21,0.1,0.1643,0.02087,0.571,0.00614,0.381,0.06429,0.524,0.09546,0.524
2025-10-30,blend50_band10,21,0.1,0.2389,0.02131,0.619,0.00691,0.381,0.0708,0.524,0.1036,0.524
2025-10-30,d12,21,0.1,0.3821,0.01771,0.524,-0.00014,0.333,0.05973,0.476,0.09213,0.429
2025-10-30,tf,21,0.1,0.2656,0.01156,0.571,0.00599,0.381,0.08015,0.524,0.11352,0.571
2025-11-27,blend50,21,0.1,0.2286,-0.00442,0.238,0.01201,0.571,0.04808,0.762,0.06541,0.81
2025-11-27,blend50_band10,21,0.1,0.0,-0.00227,0.286,0.00825,0.571,0.02982,0.667,0.03167,0.762
2025-11-27,d12,21,0.1,0.235,-0.00173,0.286,0.0188,0.619,0.05329,0.762,0.06806,0.81
2025-11-27,tf,21,0.1,0.2357,-0.00442,0.238,0.01201,0.571,0.04808,0.762,0.06541,0.81
2025-12-26,blend50,22,0.1,0.0889,0.00067,0.409,0.05418,0.773,0.09807,0.727,0.29879,0.818
2025-12-26,blend50_band10,22,0.1,0.0286,-0.0039,0.364,0.0345,0.773,0.08395,0.773,0.23554,0.818
2025-12-26,d12,22,0.1,0.2,0.00096,0.409,0.04872,0.773,0.09349,0.773,0.28831,0.864
2025-12-26,tf,22,0.1,0.0333,0.00071,0.409,0.06134,0.818,0.10774,0.773,0.29214,0.818
2026-01-26,blend50,21,0.1,0.1185,0.02808,0.81,-0.02077,0.5,-0.01433,0.5,0.04395,0.571
2026-01-26,blend50_band10,21,0.1,0.1508,0.0248,0.81,-0.02368,0.476,-0.02135,0.476,0.04345,0.571
2026-01-26,d12,21,0.1,0.2778,0.0206,0.762,-0.02372,0.5,-0.02765,0.5,0.0312,0.571
2026-01-26,tf,21,0.1,0.1822,0.02988,0.762,-0.02009,0.45,-0.00678,0.55,0.05844,0.619
2026-03-05,blend50,21,0.1,0.2222,-0.06847,0.0,0.00477,0.476,0.05918,0.667,0.00292,0.45
2026-03-05,blend50_band10,21,0.1,0.2847,-0.06847,0.0,0.00477,0.476,0.05918,0.667,0.00292,0.45
2026-03-05,d12,21,0.1,0.2519,-0.06733,0.0,0.01658,0.571,0.06826,0.714,0.01034,0.4
2026-03-05,tf,21,0.1,0.305,-0.0667,0.0,0.00129,0.429,0.05237,0.571,0.00823,0.5
2026-04-02,blend50,21,0.1,0.2,0.05021,0.905,0.10836,0.952,0.14154,0.81,0.20336,0.905
2026-04-02,blend50_band10,21,0.1,0.1,0.05042,0.905,0.09788,0.952,0.14389,0.81,0.21899,0.905
2026-04-02,d12,21,0.1,0.1333,0.05424,0.905,0.0999,0.952,0.14077,0.81,0.22962,0.905
2026-04-02,tf,21,0.1,0.1,0.04893,0.857,0.10875,0.905,0.1508,0.81,0.23013,0.905
2026-05-05,blend50,22,0.1,0.34,0.01418,0.682,0.0001,0.591,-0.06605,0.227,0.12632,0.818
2026-05-05,blend50_band10,22,0.1,0.2556,0.01525,0.682,-0.00085,0.591,-0.06294,0.273,0.13738,0.818
2026-05-05,d12,22,0.1,0.2467,0.01231,0.636,-0.00016,0.591,-0.07009,0.227,0.12269,0.773
2026-05-05,tf,22,0.1,0.3036,0.01713,0.727,0.03009,0.636,-0.02529,0.318,0.1917,0.773
2026-06-02,blend50,21,0.1,0.2464,-0.02115,0.19,-0.13209,0.048,-0.02907,0.238,0.06131,0.524
2026-06-02,blend50_band10,21,0.1,0.1889,-0.02277,0.143,-0.12286,0.048,-0.02748,0.238,0.05087,0.524
2026-06-02,d12,21,0.1,0.3679,-0.0142,0.238,-0.09879,0.143,0.02364,0.333,0.12672,0.524
2026-06-02,tf,21,0.1,0.2917,-0.02348,0.19,-0.11888,0.095,0.00171,0.286,0.07277,0.571
2026-07-01,blend50,22,0.1,0.259,-0.00587,0.364,-0.06053,0.136,-0.13564,0.045,,
2026-07-01,blend50_band10,22,0.1,0.325,-0.00206,0.409,-0.06251,0.136,-0.12748,0.045,,
2026-07-01,d12,22,0.1,0.0778,0.00233,0.364,-0.06055,0.091,-0.11918,0.091,,
2026-07-01,tf,22,0.1,0.1607,-0.00563,0.364,-0.0613,0.136,-0.13791,0.045,,
2026-07-07,blend50,22,0.1,0.059,-0.00795,0.364,-0.00017,0.455,,,,
2026-07-07,blend50_band10,22,0.1,0.1,-0.00611,0.409,-0.00437,0.409,,,,
2026-07-07,d12,22,0.1,0.0567,-0.01516,0.318,0.00201,0.545,,,,
2026-07-07,tf,22,0.1,0.0607,-0.00824,0.364,-0.00315,0.409,,,,
2026-07-22,blend50,22,0.1,0.1792,,,,,,,,
2026-07-22,blend50_band10,22,0.1,0.0312,,,,,,,,
2026-07-22,d12,22,0.1,0.2556,,,,,,,,
2026-07-22,tf,22,0.1,0.0875,,,,,,,,
