stock,weight,score,rank
2027,0.07999999860616766,4.189404790980569,1
3661,0.05000000025,2.7546513416146743,2
1231,0.07999999860616766,2.5513489673930865,3
2345,0.02857142899779726,2.2458501866313108,4
2606,0.04000000059691616,2.125832791450092,5
2357,0.02857142899779726,1.7368674110117936,6
2609,0.04000000059691616,1.5695704936918629,7
2603,0.04000000059691616,1.5159263838272021,8
2637,0.04000000059691616,1.399181973653388,9
2454,0.05000000025,1.3859074595984515,10
2368,0.02857142899779726,1.2928028104939933,11
2618,0.07999999860616766,1.2813468862734947,12
2408,0.05000000025,1.264799029690216,13
3231,0.02857142899779726,1.1704217252225892,14
3443,0.05000000025,1.0845909587612985,15
2615,0.04000000059691616,1.016399202783949,16
2354,0.02857142899779726,0.9878496066825488,17
2312,0.02857142899779726,0.8310997953604808,18
2723,0.07999999860616766,0.8138246220170731,19
1590,0.07999999860616766,0.7703636618360965,20
2360,0.02857142899779726,0.6067034474904578,21
