stock,weight,score,rank
2308,0.02999999999999999,5.225889252248326,1
2360,0.02999999999999999,3.5399676351451626,2
2368,0.02999999999999999,2.6092367533232674,3
2449,0.042857142857142844,2.548179737820035,4
2344,0.042857142857142844,2.3678460179986476,5
6770,0.042857142857142844,2.0905849282944398,6
1802,0.1,2.0168814241092474,7
2345,0.02999999999999999,1.6478361458958084,8
3443,0.042857142857142844,1.5119052068064358,9
2330,0.042857142857142844,1.4502573671144794,10
2313,0.02999999999999999,1.3638544416006941,11
3661,0.042857142857142844,1.0096375444740717,12
1519,0.1,0.9959144413418535,13
3711,0.042857142857142844,0.7573356489768843,14
2317,0.02999999999999999,0.6691341300420021,15
3231,0.02999999999999999,0.6031611407399797,16
3037,0.02999999999999999,0.602219550420465,17
1215,0.1,0.5151691071140501,18
1303,0.1,0.44816110398384357,19
2357,0.02999999999999999,0.38384606519314485,20
2324,0.02999999999999999,0.3557121636345727,21
