stock,weight,score,rank
2408,0.037500000000000006,4.983771896231261,1
2344,0.037500000000000006,4.651827786495498,2
2308,0.03333333333333333,2.809509608904497,3
2360,0.03333333333333333,2.3606799294655274,4
6770,0.037500000000000006,2.320037698713765,5
2368,0.03333333333333333,2.1398477625422183,6
1802,0.1,2.0315265727602525,7
2449,0.037500000000000006,1.956282382936088,8
2337,0.037500000000000006,1.5335467593196466,9
2451,0.03333333333333333,1.3782188945055291,10
3037,0.03333333333333333,1.329386820107513,11
2317,0.03333333333333333,0.9625794978624436,12
1303,0.1,0.9307200442384425,13
3443,0.037500000000000006,0.8358278628363942,14
3711,0.037500000000000006,0.6950862083008948,15
1519,0.1,0.5556684072579274,16
2330,0.037500000000000006,0.5418365833729399,17
2345,0.03333333333333333,0.4970377957059155,18
2231,0.1,0.4003366776353127,19
2313,0.03333333333333333,0.2919405391985527,20
3231,0.03333333333333333,0.2863744305029052,21
