stock,weight,score,rank
2344,0.025000000125,2.5395425979333472,1
2303,0.025000000125,2.458666028719786,2
2408,0.025000000125,2.4474069202118445,3
2454,0.025000000125,2.066357666017895,4
3711,0.025000000125,2.031867226230478,5
3443,0.025000000125,1.9515288558592119,6
3037,0.025000000125,1.8395322807542587,7
2409,0.09999999966666664,1.6821700507864166,8
1303,0.09999999966666664,1.6629044792644692,9
2351,0.025000000125,1.6625028418237302,10
3008,0.09999999966666664,1.4892675089811762,11
6770,0.025000000125,1.3246173483091206,12
2345,0.025000000125,1.311700874515112,13
2360,0.025000000125,1.2520206584368365,14
6446,0.09999999966666664,1.2230807183704675,15
2368,0.025000000125,1.216991817645161,16
2308,0.025000000125,1.1322721103607924,17
2312,0.025000000125,0.7859431798575289,18
1802,0.09999999966666664,0.5905446938458795,19
2451,0.025000000125,0.545556617299323,20
2356,0.025000000125,0.4769488236477191,21
1590,0.09999999966666664,0.1605637370952225,22
