symbol,prediction_score,rank,action,target_weight,previous_weight,weight_change,sector,confidence,execution_date,holding_horizon_days,caveats
2454,0.05961,1,BUY,0.02678,0.0,0.02678,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2303,0.0578,2,BUY,0.02634,0.0,0.02634,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2408,0.05744,3,BUY,0.02148,0.0,0.02148,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2344,0.05415,4,BUY,0.02381,0.0,0.02381,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3443,0.05343,5,BUY,0.02385,0.0,0.02385,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2360,0.04882,6,BUY,0.03378,0.0,0.03378,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3711,0.04807,7,BUY,0.02984,0.0,0.02984,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2313,0.04711,8,BUY,0.03101,0.0,0.03101,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2351,0.0446,9,BUY,0.02123,0.0,0.02123,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1303,0.04367,10,BUY,0.1,0.0,0.1,materials,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2368,0.04327,11,BUY,0.03134,0.0,0.03134,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2337,0.04174,12,BUY,0.02567,0.0,0.02567,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2345,0.04155,13,BUY,0.03517,0.0,0.03517,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2308,0.03758,14,BUY,0.03401,0.0,0.03401,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2409,0.03735,15,BUY,0.1,0.0,0.1,panels,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6446,0.03542,16,BUY,0.1,0.0,0.1,biotech,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3008,0.03412,17,BUY,0.1,0.0,0.1,optics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6770,0.03383,18,BUY,0.02382,0.0,0.02382,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1802,0.03273,19,BUY,0.1,0.0,0.1,materials,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2451,0.02784,20,BUY,0.04828,0.0,0.04828,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2312,0.02514,21,BUY,0.03641,0.0,0.03641,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3661,0.02405,22,BUY,0.02717,0.0,0.02717,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2356,0.0205,23,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3037,0.01997,24,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1326,0.0195,25,WATCH,0.0,0.0,0.0,materials,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1590,0.0191,26,WATCH,0.0,0.0,0.0,industrial,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2401,0.01824,27,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-07,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
