symbol,prediction_score,rank,action,target_weight,previous_weight,weight_change,sector,confidence,execution_date,holding_horizon_days,caveats
2337,0.29146,1,HOLD,0.0271,0.02567,0.00143,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2408,0.23635,2,HOLD,0.02215,0.02148,0.00067,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1303,0.22256,3,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2344,0.19727,4,HOLD,0.02435,0.02381,0.00054,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3443,0.17734,5,HOLD,0.02392,0.02385,7e-05,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3711,0.17227,6,HOLD,0.02738,0.02984,-0.00246,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6446,0.14634,7,HOLD,0.1,0.1,0.0,biotech,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2313,0.12998,8,HOLD,0.03117,0.03101,0.00016,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2409,0.11449,9,HOLD,0.1,0.1,0.0,panels,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3037,0.10531,10,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2303,0.08931,11,HOLD,0.02534,0.02634,-0.001,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2360,0.0867,12,HOLD,0.03113,0.03378,-0.00265,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2351,0.07866,13,HOLD,0.02177,0.02123,0.00054,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3008,0.07278,14,HOLD,0.1,0.1,0.0,optics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2345,0.0646,15,HOLD,0.03622,0.03517,0.00105,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2368,0.06106,16,HOLD,0.03946,0.03134,0.00812,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6770,0.05695,17,HOLD,0.02636,0.02382,0.00254,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2308,0.04977,18,HOLD,0.03711,0.03401,0.0031,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1802,0.04216,19,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2312,0.04125,20,HOLD,0.03366,0.03641,-0.00275,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3661,0.04025,21,HOLD,0.02417,0.02717,-0.003,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2356,0.04016,22,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2451,0.03753,23,HOLD,0.04125,0.04828,-0.00703,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2454,0.03597,24,HOLD,0.02747,0.02678,0.00069,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1326,0.03474,25,WATCH,0.0,0.0,0.0,materials,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2401,0.03242,26,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2377,0.0307,27,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-22,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
