symbol,prediction_score,rank,action,target_weight,previous_weight,weight_change,sector,confidence,execution_date,holding_horizon_days,caveats
2337,0.28977,1,HOLD,0.0296,0.0296,-0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2408,0.22932,2,HOLD,0.02412,0.02412,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1303,0.22717,3,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2344,0.18923,4,HOLD,0.02633,0.02633,-0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3443,0.1739,5,HOLD,0.02659,0.02659,-0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3711,0.16649,6,HOLD,0.03012,0.03012,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6446,0.14678,7,HOLD,0.1,0.1,0.0,biotech,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2313,0.12885,8,HOLD,0.03016,0.03016,0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3037,0.12878,9,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2409,0.11112,10,HOLD,0.1,0.1,0.0,panels,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2360,0.08644,11,HOLD,0.03107,0.03107,-0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2303,0.08641,12,HOLD,0.02873,0.02873,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2351,0.07379,13,HOLD,0.02594,0.02594,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3008,0.07167,14,HOLD,0.1,0.1,0.0,optics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2345,0.06283,15,HOLD,0.03554,0.03554,0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2368,0.05893,16,HOLD,0.03852,0.03852,0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
6770,0.05567,17,HOLD,0.03203,0.03203,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2308,0.04858,18,HOLD,0.03698,0.03698,0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1802,0.0416,19,HOLD,0.1,0.1,0.0,materials,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2312,0.04059,20,HOLD,0.03758,0.03758,-0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
3661,0.03987,21,HOLD,0.02654,0.02654,-0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2356,0.03956,22,WATCH,0.0,0.0,0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2451,0.03674,23,HOLD,0.04014,0.04014,0.0,electronics,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
1326,0.03632,24,WATCH,0.0,0.0,0.0,materials,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2401,0.03241,25,WATCH,0.0,0.0,0.0,semis,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
2887,0.03132,26,WATCH,0.0,0.0,0.0,financials,low,next trading day after 2026-07-23,20,survivorship-biased research universe; EOD close-to-close model; execute next session; not investment advice
